hora,metaf,aero
1679292000000,"METAF SBBR 200600Z  32003KT 3000     BR SCT020   18/16 Q1014=
",SBBR
1679295600000,"METAF SBBR 200700Z 01001KT 4000     BR SCT018   18/16 Q1014=
",SBBR
1679299200000,"METAF SBBR 200800Z  14002KT 3000     BR BKN017   18/16 Q1015=
",SBBR
1679302800000,"METAF SBBR 200900Z  16002KT 2000     BR BKN019   17/16 Q1015=
",SBBR
1679306400000,"METAF SBBR 201000Z  16001KT 2000     BR BKN015   17/16 Q1016=
",SBBR
1679310000000,"METAF SBBR 201100Z  10002KT 8000       SCT016   19/16 Q1016=
",SBBR
1679313600000,"METAF SBBR 201200Z 08005KT 9999       SCT022   21/15 Q1016=
",SBBR
1679317200000,"METAF SBBR 201300Z 07006KT 9999       BKN026   23/15 Q1017=
",SBBR
1679320800000,"METAF SBBR 201400Z 08008KT 9999       BKN031   24/15 Q1016=
",SBBR
1679324400000,"METAF SBBR 201500Z 07008KT 9999       SCT033   25/15 Q1016=
",SBBR
1679328000000,"METAF SBBR 201600Z 07007KT 9999       FEW033   26/15 Q1014=
",SBBR
1679331600000,"METAF SBBR 201700Z 07008KT CAVOK 26/15 Q1013=
",SBBR
1679335200000,"METAF SBBR 201800Z 07008KT CAVOK 27/15 Q1012=
",SBBR
1679338800000,"METAF SBBR 201900Z 08008KT CAVOK 27/15 Q1011=
",SBBR
1679342400000,"METAF SBBR 202000Z 07008KT CAVOK 27/16 Q1011=
",SBBR
1679346000000,"METAF SBBR 202100Z 06007KT CAVOK 26/16 Q1011=
",SBBR
1679349600000,"METAF SBBR 202200Z 04006KT CAVOK 26/16 Q1012=
",SBBR
1679353200000,"METAF SBBR 202300Z  35006KT 9999       FEW032   25/17 Q1013=
",SBBR
1679292000000,"METAF SBCF 200600Z  13004KT 1000     BR BKN019   17/16 Q1015=
",SBCF
1679295600000,"METAF SBCF 200700Z  13004KT 1000     BR BKN019   17/16 Q1015=
",SBCF
1679299200000,"METAF SBCF 200800Z  14005KT 1000     BR BKN018   17/16 Q1015=
",SBCF
1679302800000,"METAF SBCF 200900Z  13004KT 1000     BR BKN017   16/16 Q1016=
",SBCF
1679306400000,"METAF SBCF 201000Z  13003KT 2000     BR BKN022   19/17 Q1016=
",SBCF
1679310000000,"METAF SBCF 201100Z 06003KT 6000       BKN013   21/18 Q1017=
",SBCF
1679313600000,"METAF SBCF 201200Z 04004KT 9999       SCT022   23/18 Q1017=
",SBCF
1679317200000,"METAF SBCF 201300Z 02003KT 9999       SCT032   25/18 Q1017=
",SBCF
1679320800000,"METAF SBCF 201400Z  36003KT 9999       SCT033   27/17 Q1016=
",SBCF
1679324400000,"METAF SBCF 201500Z  35002KT 9999       FEW033   28/17 Q1015=
",SBCF
1679328000000,"METAF SBCF 201600Z  32002KT CAVOK 29/17 Q1014=
",SBCF
1679331600000,"METAF SBCF 201700Z  26001KT CAVOK 29/16 Q1013=
",SBCF
1679335200000,"METAF SBCF 201800Z 07001KT CAVOK 29/16 Q1012=
",SBCF
1679338800000,"METAF SBCF 201900Z  14001KT CAVOK 29/16 Q1011=
",SBCF
1679342400000,"METAF SBCF 202000Z  10002KT CAVOK 29/16 Q1011=
",SBCF
1679346000000,"METAF SBCF 202100Z 06003KT CAVOK 27/18 Q1012=
",SBCF
1679349600000,"METAF SBCF 202200Z 07004KT CAVOK 24/19 Q1013=
",SBCF
1679353200000,"METAF SBCF 202300Z  13003KT 8000    RA  FEW031   23/19 Q1014=
",SBCF
1679292000000,"METAF SBCT 200600Z  34003KT 3000     BR SCT033   17/15 Q1015=
",SBCT
1679295600000,"METAF SBCT 200700Z  29003KT 3000     BR SCT031   17/15 Q1015=
",SBCT
