hora,metaf,aero
1658534400000,"METAF SBGL 230000Z  10007KT CAVOK 23/20 Q1017=
",SBGL
1658538000000,"METAF SBGL 230100Z 09007KT 4000     BR    22/20 Q1018=
",SBGL
1658541600000,"METAF SBGL 230200Z 09005KT 3000     BR    22/20 Q1019=
",SBGL
1658545200000,"METAF SBGL 230300Z 05003KT 4000     BR    21/19 Q1017=
",SBGL
1658548800000,"METAF SBGL 230400Z  18002KT 4000     BR    21/19 Q1018=
",SBGL
1658552400000,"METAF SBGL 230500Z  20003KT 4000     BR    21/19 Q1018=
",SBGL
1658556000000,"METAF SBGL 230600Z  16004KT CAVOK 21/18 Q1015=
",SBGL
1658559600000,"METAF SBGL 230700Z  17005KT CAVOK 21/17 Q1017=
",SBGL
1658563200000,"METAF SBGL 230800Z  16003KT CAVOK 21/16 Q1019=
",SBGL
1658566800000,"METAF SBGL 230900Z  12002KT CAVOK 20/16 Q1017=
",SBGL
1658570400000,"METAF SBGL 231000Z  12003KT CAVOK 20/16 Q1018=
",SBGL
1658574000000,"METAF SBGL 231100Z  15002KT CAVOK 21/16 Q1019=
",SBGL
1658577600000,"METAF SBGL 231200Z  17005KT CAVOK 21/15 Q1018=
",SBGL
1658581200000,"METAF SBGL 231300Z  17006KT CAVOK 22/16 Q1020=
",SBGL
1658584800000,"METAF SBGL 231400Z  13002KT CAVOK 23/17 Q1021=
",SBGL
1658588400000,"METAF SBGL 231500Z  14001KT CAVOK 24/17 Q1017=
",SBGL
1658592000000,"METAF SBGL 231600Z  12001KT CAVOK 25/16 Q1018=
",SBGL
1658595600000,"METAF SBGL 231700Z  12004KT CAVOK 25/16 Q1017=
",SBGL
1658599200000,"METAF SBGL 231800Z  14005KT CAVOK 25/17 Q1015=
",SBGL
1658602800000,"METAF SBGL 231900Z  15007KT CAVOK 25/17 Q1016=
",SBGL
1658606400000,"METAF SBGL 232000Z  13008KT CAVOK 25/18 Q1016=
",SBGL
1658610000000,"METAF SBGL 232100Z  12008KT CAVOK 24/19 Q1017=
",SBGL
1658613600000,"METAF SBGL 232200Z  10007KT CAVOK 24/19 Q1018=
",SBGL
1658617200000,"METAF SBGL 232300Z 09007KT CAVOK 23/19 Q1018=
",SBGL
1658534400000,"METAF SBGR 230000Z 07005KT CAVOK 15/06 Q1016=
",SBGR
1658538000000,"METAF SBGR 230100Z 07005KT CAVOK 14/06 Q1018=
",SBGR
1658541600000,"METAF SBGR 230200Z 07005KT CAVOK 14/07 Q1020=
",SBGR
1658545200000,"METAF SBGR 230300Z 07005KT CAVOK 13/07 Q1017=
",SBGR
1658548800000,"METAF SBGR 230400Z 08006KT CAVOK 14/07 Q1018=
",SBGR
1658552400000,"METAF SBGR 230500Z 06005KT CAVOK 13/07 Q1018=
",SBGR
1658556000000,"METAF SBGR 230600Z 03004KT CAVOK 12/07 Q1016=
",SBGR
1658559600000,"METAF SBGR 230700Z 05002KT CAVOK 13/06 Q1019=
",SBGR
1658563200000,"METAF SBGR 230800Z 05003KT CAVOK 13/06 Q1019=
",SBGR
1658566800000,"METAF SBGR 230900Z 02005KT CAVOK 13/05 Q1016=
",SBGR
