hora,metaf,aero
1660348800000,"METAF SBBR 130000Z 01006KT CAVOK 20/06 Q1019=
",SBBR
1660352400000,"METAF SBBR 130100Z  34006KT CAVOK 20/07 Q1018=
",SBBR
1660356000000,"METAF SBBR 130200Z  36004KT CAVOK 18/07 Q1017=
",SBBR
1660359600000,"METAF SBBR 130300Z 05003KT CAVOK 17/07 Q1017=
",SBBR
1660363200000,"METAF SBBR 130400Z 09004KT CAVOK 16/07 Q1018=
",SBBR
1660366800000,"METAF SBBR 130500Z 09004KT CAVOK 16/06 Q1019=
",SBBR
1660370400000,"METAF SBBR 130600Z 02002KT CAVOK 17/08 Q1017=
",SBBR
1660374000000,"METAF SBBR 130700Z 04005KT CAVOK 16/08 Q1017=
",SBBR
1660377600000,"METAF SBBR 130800Z 06007KT CAVOK 14/08 Q1015=
",SBBR
1660381200000,"METAF SBBR 130900Z 08006KT CAVOK 14/08 Q1018=
",SBBR
1660384800000,"METAF SBBR 131000Z 09004KT CAVOK 13/08 Q1020=
",SBBR
1660388400000,"METAF SBBR 131100Z  10008KT CAVOK 16/08 Q1022=
",SBBR
1660392000000,"METAF SBBR 131200Z 06011KT CAVOK 21/09 Q1021=
",SBBR
1660395600000,"METAF SBBR 131300Z 05011KT CAVOK 22/10 Q1022=
",SBBR
1660399200000,"METAF SBBR 131400Z 06011KT CAVOK 24/11 Q1020=
",SBBR
1660402800000,"METAF SBBR 131500Z 07010KT CAVOK 25/11 Q1021=
",SBBR
1660406400000,"METAF SBBR 131600Z 07009KT CAVOK 26/10 Q1021=
",SBBR
1660410000000,"METAF SBBR 131700Z 09008KT CAVOK 26/10 Q1020=
",SBBR
1660413600000,"METAF SBBR 131800Z 04004KT CAVOK 28/07 Q1017=
",SBBR
1660417200000,"METAF SBBR 131900Z 06005KT CAVOK 28/06 Q1017=
",SBBR
1660420800000,"METAF SBBR 132000Z 08006KT CAVOK 28/06 Q1015=
",SBBR
1660424400000,"METAF SBBR 132100Z 09008KT CAVOK 28/06 Q1016=
",SBBR
1660428000000,"METAF SBBR 132200Z 08008KT CAVOK 27/06 Q1017=
",SBBR
1660431600000,"METAF SBBR 132300Z 09009KT CAVOK 25/08 Q1019=
",SBBR
1660348800000,"METAF SBCF 130000Z 09008KT CAVOK 16/09 Q1019=
",SBCF
1660352400000,"METAF SBCF 130100Z 08007KT CAVOK 15/09 Q1023=
",SBCF
1660356000000,"METAF SBCF 130200Z  10006KT CAVOK 14/10 Q1021=
",SBCF
1660359600000,"METAF SBCF 130300Z  10008KT 7000       BKN033   14/10 Q1023=
",SBCF
1660363200000,"METAF SBCF 130400Z  11008KT 3000     BR OVC033   13/11 Q1025=
",SBCF
1660366800000,"METAF SBCF 130500Z  11010KT 2000     BR OVC033   13/11 Q1023=
",SBCF
1660370400000,"METAF SBCF 130600Z  10008KT 4000     BR BKN033   11/08 Q1020=
",SBCF
1660374000000,"METAF SBCF 130700Z  11009KT 3000     BR BKN033   11/09 Q1023=
",SBCF
1660377600000,"METAF SBCF 130800Z  11011KT 2000     BR OVC033   11/10 Q1022=
",SBCF
1660381200000,"METAF SBCF 130900Z  11007KT 1000     BR OVC033   11/10 Q1023=
",SBCF
1660384800000,"METAF SBCF 131000Z  12009KT 3000     BR OVC033   13/11 Q1027=
",SBCF
1660388400000,"METAF SBCF 131100Z 08013KT 9999       OVC033   16/11 Q1025=
",SBCF
1660392000000,"METAF SBCF 131200Z 07011KT 9999       SCT033   18/11 Q1023=
",SBCF
1660395600000,"METAF SBCF 131300Z 07011KT 9999       SCT033   21/10 Q1027=
",SBCF
1660399200000,"METAF SBCF 131400Z 07010KT 9999       FEW033   22/10 Q1024=
",SBCF
1660402800000,"METAF SBCF 131500Z 07006KT CAVOK 23/09 Q1025=
",SBCF
1660406400000,"METAF SBCF 131600Z 09005KT CAVOK 24/09 Q1025=
",SBCF
1660410000000,"METAF SBCF 131700Z  10004KT CAVOK 25/08 Q1022=
",SBCF
1660413600000,"METAF SBCF 131800Z  13004KT CAVOK 26/05 Q1018=
",SBCF
1660417200000,"METAF SBCF 131900Z  10004KT CAVOK 27/05 Q1021=
",SBCF
1660420800000,"METAF SBCF 132000Z 09004KT CAVOK 26/05 Q1020=
",SBCF
1660424400000,"METAF SBCF 132100Z 09006KT CAVOK 21/06 Q1021=
",SBCF
1660428000000,"METAF SBCF 132200Z  10008KT CAVOK 20/08 Q1022=
",SBCF
1660431600000,"METAF SBCF 132300Z 08009KT CAVOK 19/10 Q1023=
",SBCF
1660348800000,"METAF SBCT 130000Z 07007KT 1000     BR OVC033   11/10 Q1022=
",SBCT
1660352400000,"METAF SBCT 130100Z 03006KT 1000     BR OVC033   11/10 Q1023=
",SBCT
1660356000000,"METAF SBCT 130200Z 05005KT 1000     BR OVC033   09/09 Q1024=
",SBCT
1660359600000,"METAF SBCT 130300Z 04005KT 0600 FG     OVC012   09/09 Q1019=
",SBCT
1660363200000,"METAF SBCT 130400Z 04005KT 1000     BR OVC033   010/10 Q1021=
",SBCT
1660366800000,"METAF SBCT 130500Z 02005KT 0800 FG     OVC033   010/09 Q1021=
",SBCT
1660370400000,"METAF SBCT 130600Z 06007KT 2000     BR OVC033   11/10 Q1023=
",SBCT
1660374000000,"METAF SBCT 130700Z 04007KT 2000     BR OVC033   11/10 Q1023=
",SBCT
1660377600000,"METAF SBCT 130800Z 04005KT 1000     BR OVC012   09/09 Q1024=
",SBCT
1660381200000,"METAF SBCT 130900Z 02005KT 0700 FG     OVC033   010/10 Q1019=
",SBCT
1660384800000,"METAF SBCT 131000Z 02005KT 1000     BR OVC031   010/09 Q1021=
",SBCT
1660388400000,"METAF SBCT 131100Z  36004KT 0750 FG     OVC032   010/09 Q1022=
",SBCT
1660392000000,"METAF SBCT 131200Z 04006KT 3000     BR OVC033   13/11 Q1024=
",SBCT
