hora,metaf,aero
1682380800000,"METAF SBBR 250000Z 08007KT CAVOK 21/14 Q1017=
",SBBR
1682384400000,"METAF SBBR 250100Z 08007KT CAVOK 21/14 Q1018=
",SBBR
1682388000000,"METAF SBBR 250200Z 08006KT CAVOK 20/14 Q1018=
",SBBR
1682391600000,"METAF SBBR 250300Z 08006KT CAVOK 20/14 Q1018=
",SBBR
1682395200000,"METAF SBBR 250400Z 09006KT CAVOK 19/13 Q1017=
",SBBR
1682398800000,"METAF SBBR 250500Z 08006KT CAVOK 19/13 Q1017=
",SBBR
1682402400000,"METAF SBBR 250600Z 09005KT 6000       FEW033   17/14 Q1017=
",SBBR
1682406000000,"METAF SBBR 250700Z 08007KT 7000       FEW033   17/14 Q1017=
",SBBR
1682409600000,"METAF SBBR 250800Z 08007KT 7000       FEW033   17/13 Q1016=
",SBBR
1682413200000,"METAF SBBR 250900Z 08007KT 7000       FEW033   17/13 Q1017=
",SBBR
1682416800000,"METAF SBBR 251000Z 08006KT 6000       SCT033   16/13 Q1018=
",SBBR
1682420400000,"METAF SBBR 251100Z 09008KT 8000       BKN033   18/14 Q1019=
",SBBR
1682424000000,"METAF SBBR 251200Z 08008KT 9999       SCT022   20/14 Q1019=
",SBBR
1682427600000,"METAF SBBR 251300Z 08009KT 9999       FEW029   22/14 Q1019=
",SBBR
1682431200000,"METAF SBBR 251400Z 08009KT 9999       FEW033   23/14 Q1019=
",SBBR
1682434800000,"METAF SBBR 251500Z 08009KT CAVOK 25/13 Q1018=
",SBBR
1682438400000,"METAF SBBR 251600Z 08008KT CAVOK 25/13 Q1017=
",SBBR
1682442000000,"METAF SBBR 251700Z 08008KT CAVOK 26/13 Q1016=
",SBBR
1682445600000,"METAF SBBR 251800Z 09007KT CAVOK 27/13 Q1015=
",SBBR
1682449200000,"METAF SBBR 251900Z 09007KT CAVOK 27/13 Q1015=
",SBBR
1682452800000,"METAF SBBR 252000Z 09008KT CAVOK 26/13 Q1015=
",SBBR
1682456400000,"METAF SBBR 252100Z 09007KT CAVOK 25/13 Q1016=
",SBBR
1682460000000,"METAF SBBR 252200Z 09007KT CAVOK 25/14 Q1016=
",SBBR
1682463600000,"METAF SBBR 252300Z 09006KT CAVOK 24/14 Q1016=
",SBBR
1682380800000,"METAF SBCF 250000Z  12006KT 5000     BR SCT033   18/15 Q1019=
",SBCF
1682384400000,"METAF SBCF 250100Z  12006KT 5000     BR SCT033   17/14 Q1020=
",SBCF
1682388000000,"METAF SBCF 250200Z  13005KT 2000     BR SCT033   16/14 Q1020=
",SBCF
1682391600000,"METAF SBCF 250300Z  13005KT 2000     BR BKN033   16/14 Q1020=
",SBCF
1682395200000,"METAF SBCF 250400Z  13005KT 1000     BR BKN033   15/14 Q1019=
",SBCF
1682398800000,"METAF SBCF 250500Z  12005KT 1000     BR BKN031   15/14 Q1019=
",SBCF
1682402400000,"METAF SBCF 250600Z  13005KT 2000     BR SCT033   14/12 Q1019=
",SBCF
1682406000000,"METAF SBCF 250700Z  11005KT 1000     BR BKN033   13/12 Q1018=
",SBCF
1682409600000,"METAF SBCF 250800Z  12005KT 1000     BR BKN027   13/12 Q1018=
",SBCF
1682413200000,"METAF SBCF 250900Z  13005KT 1000     BR BKN026   13/12 Q1019=
",SBCF
1682416800000,"METAF SBCF 251000Z  12006KT 2000     BR BKN027   16/14 Q1020=
",SBCF
1682420400000,"METAF SBCF 251100Z  11007KT 6000       BKN028   18/15 Q1020=
",SBCF
1682424000000,"METAF SBCF 251200Z  11005KT 9999       SCT023   21/15 Q1021=
",SBCF
1682427600000,"METAF SBCF 251300Z 09005KT 9999       SCT030   23/15 Q1021=
",SBCF
1682431200000,"METAF SBCF 251400Z 09004KT 9999       FEW033   25/15 Q1020=
",SBCF
1682434800000,"METAF SBCF 251500Z  10004KT CAVOK 26/15 Q1019=
",SBCF
1682438400000,"METAF SBCF 251600Z  10004KT CAVOK 27/14 Q1018=
",SBCF
1682442000000,"METAF SBCF 251700Z  11005KT CAVOK 27/14 Q1017=
",SBCF
1682445600000,"METAF SBCF 251800Z  12005KT CAVOK 28/14 Q1016=
",SBCF
1682449200000,"METAF SBCF 251900Z  10005KT CAVOK 28/14 Q1016=
",SBCF
1682452800000,"METAF SBCF 252000Z  10006KT CAVOK 27/15 Q1016=
",SBCF
1682456400000,"METAF SBCF 252100Z  10006KT CAVOK 24/15 Q1016=
",SBCF
1682460000000,"METAF SBCF 252200Z  11007KT CAVOK 23/16 Q1017=
",SBCF
1682463600000,"METAF SBCF 252300Z  11007KT CAVOK 22/16 Q1018=
",SBCF
1682380800000,"METAF SBCT 250000Z 09008KT 0300 FG     OVC033   15/15 Q1021=
",SBCT
1682384400000,"METAF SBCT 250100Z 07006KT 0250 FG     OVC033   15/14 Q1021=
",SBCT
1682388000000,"METAF SBCT 250200Z 06005KT 0300 FG     OVC033   14/13 Q1022=
",SBCT
1682391600000,"METAF SBCT 250300Z 06004KT 0300 FG     OVC033   13/13 Q1021=
",SBCT
