hora,metaf,aero
1677888000000,"METAF SBGL 040000Z 05004KT 9999       SCT033   29/22 Q1013=
",SBGL
1677891600000,"METAF SBGL 040100Z 04003KT 9999       FEW033   28/21 Q1013=
",SBGL
1677895200000,"METAF SBGL 040200Z 09003KT 9999       FEW033   28/21 Q1013=
",SBGL
1677898800000,"METAF SBGL 040300Z  10004KT CAVOK 27/21 Q1013=
",SBGL
1677902400000,"METAF SBGL 040400Z  12004KT CAVOK 27/21 Q1013=
",SBGL
1677906000000,"METAF SBGL 040500Z  12004KT CAVOK 27/21 Q1013=
",SBGL
1677909600000,"METAF SBGL 040600Z  14002KT CAVOK 25/22 Q1013=
",SBGL
1677913200000,"METAF SBGL 040700Z  12002KT CAVOK 25/21 Q1012=
",SBGL
1677916800000,"METAF SBGL 040800Z  12003KT CAVOK 25/21 Q1013=
",SBGL
1677920400000,"METAF SBGL 040900Z  11003KT CAVOK 25/21 Q1013=
",SBGL
1677924000000,"METAF SBGL 041000Z  11002KT CAVOK 27/20 Q1013=
",SBGL
1677927600000,"METAF SBGL 041100Z 01002KT CAVOK 29/19 Q1014=
",SBGL
1677931200000,"METAF SBGL 041200Z 07001KT CAVOK 30/20 Q1014=
",SBGL
1677934800000,"METAF SBGL 041300Z 02001KT CAVOK 32/19 Q1014=
",SBGL
1677938400000,"METAF SBGL 041400Z  34001KT CAVOK 34/18 Q1013=
",SBGL
1677942000000,"METAF SBGL 041500Z 03001KT CAVOK 35/17 Q1012=
",SBGL
1677945600000,"METAF SBGL 041600Z  13001KT CAVOK 35/18 Q1012=
",SBGL
1677949200000,"METAF SBGL 041700Z  15005KT CAVOK 35/18 Q1011=
",SBGL
1677952800000,"METAF SBGL 041800Z  15006KT 9999       FEW033   35/20 Q1010=
",SBGL
1677956400000,"METAF SBGL 041900Z  13007KT 9999       FEW033   35/20 Q1009=
",SBGL
1677960000000,"METAF SBGL 042000Z  11007KT CAVOK 35/21 Q1009=
",SBGL
1677963600000,"METAF SBGL 042100Z 08007KT CAVOK 34/21 Q1010=
",SBGL
1677967200000,"METAF SBGL 042200Z 04008KT CAVOK 32/22 Q1011=
",SBGL
1677970800000,"METAF SBGL 042300Z 03006KT 9999       FEW033   31/21 Q1011=
",SBGL
1677888000000,"METAF SBGR 040000Z 06005KT 9999       SCT033   23/18 Q1015=
",SBGR
1677891600000,"METAF SBGR 040100Z 05005KT 9000       SCT033   23/18 Q1015=
",SBGR
1677895200000,"METAF SBGR 040200Z 03004KT 7000       SCT033   22/19 Q1015=
",SBGR
1677898800000,"METAF SBGR 040300Z 03004KT 6000       SCT033   22/19 Q1015=
",SBGR
1677902400000,"METAF SBGR 040400Z 02004KT 7000       SCT033   22/18 Q1014=
",SBGR
1677906000000,"METAF SBGR 040500Z 01005KT 8000       SCT033   22/18 Q1014=
",SBGR
1677909600000,"METAF SBGR 040600Z  34004KT 9999       FEW033   21/17 Q1014=
",SBGR
1677913200000,"METAF SBGR 040700Z  34004KT CAVOK 21/16 Q1014=
",SBGR
1677916800000,"METAF SBGR 040800Z  35004KT CAVOK 21/16 Q1014=
",SBGR
1677920400000,"METAF SBGR 040900Z  35004KT CAVOK 21/16 Q1014=
",SBGR
1677924000000,"METAF SBGR 041000Z  36004KT CAVOK 22/16 Q1015=
",SBGR
1677927600000,"METAF SBGR 041100Z  35005KT CAVOK 24/17 Q1015=
",SBGR
1677931200000,"METAF SBGR 041200Z  33005KT CAVOK 25/17 Q1016=
",SBGR
1677934800000,"METAF SBGR 041300Z  31007KT CAVOK 27/17 Q1016=
",SBGR
1677938400000,"METAF SBGR 041400Z  31007KT 9999       FEW033   28/17 Q1016=
",SBGR
1677942000000,"METAF SBGR 041500Z  30007KT CAVOK 29/17 Q1015=
",SBGR
1677945600000,"METAF SBGR 041600Z  30007KT CAVOK 29/17 Q1014=
",SBGR
1677949200000,"METAF SBGR 041700Z  30006KT CAVOK 30/17 Q1012=
",SBGR
1677952800000,"METAF SBGR 041800Z  30007KT CAVOK 30/17 Q1012=
",SBGR
1677956400000,"METAF SBGR 041900Z  29006KT CAVOK 30/16 Q1011=
",SBGR
1677960000000,"METAF SBGR 042000Z  31006KT CAVOK 30/17 Q1011=
",SBGR
1677963600000,"METAF SBGR 042100Z  34006KT CAVOK 29/18 Q1011=
",SBGR
1677967200000,"METAF SBGR 042200Z  34005KT 9999    RA  FEW027   25/19 Q1012=
",SBGR
1677970800000,"METAF SBGR 042300Z  11009KT 7000  -TSRA  SCT033 FEW030CB 22/18 Q1015=
",SBGR
1677888000000,"METAF SBKP 040000Z 05005KT 9999       FEW033   24/19 Q1013=
",SBKP
1677891600000,"METAF SBKP 040100Z 06005KT 9999       FEW033   24/19 Q1014=
",SBKP
1677895200000,"METAF SBKP 040200Z 07005KT 8000       FEW033   23/19 Q1015=
",SBKP
1677898800000,"METAF SBKP 040300Z 07005KT 6000       FEW033   22/19 Q1014=
",SBKP
1677902400000,"METAF SBKP 040400Z 07005KT 5000     BR FEW033   22/19 Q1014=
",SBKP
1677906000000,"METAF SBKP 040500Z 04004KT 5000     BR FEW033   21/19 Q1014=
",SBKP
1677909600000,"METAF SBKP 040600Z 07004KT 3000     BR SCT033   20/18 Q1013=
",SBKP
1677913200000,"METAF SBKP 040700Z 07004KT 4000     BR FEW033   20/17 Q1013=
",SBKP
1677916800000,"METAF SBKP 040800Z 05004KT 4000     BR FEW033   19/17 Q1014=
",SBKP
1677920400000,"METAF SBKP 040900Z 04004KT 4000     BR FEW033   19/17 Q1014=
",SBKP
1677924000000,"METAF SBKP 041000Z 03005KT 9000       FEW033   22/17 Q1015=
",SBKP
1677927600000,"METAF SBKP 041100Z 01006KT 9999       FEW033   24/18 Q1015=
",SBKP
