hora,metaf,aero
1677974400000,"METAF SBGL 050000Z  36004KT 9999       SCT033   30/21 Q1012=
",SBGL
1677978000000,"METAF SBGL 050100Z  35003KT 9999       SCT033   30/21 Q1012=
",SBGL
1677981600000,"METAF SBGL 050200Z  31003KT 9999       SCT033   30/21 Q1012=
",SBGL
1677985200000,"METAF SBGL 050300Z  28002KT 9999       FEW033   29/21 Q1011=
",SBGL
1677988800000,"METAF SBGL 050400Z  23002KT 9999       SCT033   29/20 Q1011=
",SBGL
1677992400000,"METAF SBGL 050500Z  16001KT 9999       FEW033   28/20 Q1010=
",SBGL
1677996000000,"METAF SBGL 050600Z  11002KT CAVOK 28/20 Q1010=
",SBGL
1677999600000,"METAF SBGL 050700Z 09002KT CAVOK 28/20 Q1009=
",SBGL
1677974400000,"METAF SBGR 050000Z 07009KT 9000  - RA  FEW033   22/18 Q1015=
",SBGR
1677978000000,"METAF SBGR 050100Z 06010KT 9999       FEW033   22/17 Q1014=
",SBGR
1677981600000,"METAF SBGR 050200Z 04007KT 9999       FEW033   21/16 Q1014=
",SBGR
1677985200000,"METAF SBGR 050300Z 04008KT 9999       SCT033   21/16 Q1013=
",SBGR
1677988800000,"METAF SBGR 050400Z 04006KT 9999       FEW033   21/15 Q1013=
",SBGR
1677992400000,"METAF SBGR 050500Z 03005KT 9999       FEW033   21/16 Q1012=
",SBGR
1677996000000,"METAF SBGR 050600Z  36005KT 9999       FEW033   22/16 Q1011=
",SBGR
1677999600000,"METAF SBGR 050700Z  34007KT 9999       FEW033   22/17 Q1011=
",SBGR
1677974400000,"METAF SBKP 050000Z 07004KT 9999    RA  FEW033   25/19 Q1013=
",SBKP
1677978000000,"METAF SBKP 050100Z  11007KT 9999    RA  SCT033   24/19 Q1014=
",SBKP
1677981600000,"METAF SBKP 050200Z 08010KT 6000  -TSRA  FEW033 FEW030CB 22/19 Q1014=
",SBKP
1677985200000,"METAF SBKP 050300Z 07011KT 6000       FEW033   22/18 Q1013=
",SBKP
1677988800000,"METAF SBKP 050400Z 07009KT 8000       SCT033   22/18 Q1012=
",SBKP
1677992400000,"METAF SBKP 050500Z 06006KT 8000       SCT033   22/18 Q1012=
",SBKP
1677996000000,"METAF SBKP 050600Z 03006KT 7000       SCT033   22/18 Q1011=
",SBKP
1677999600000,"METAF SBKP 050700Z 01006KT 7000       SCT033   22/18 Q1011=
",SBKP
1677974400000,"METAF SBSP 050000Z 04009KT 9999  - RA  FEW033   23/18 Q1014=
",SBSP
1677978000000,"METAF SBSP 050100Z 05009KT 9999       FEW033   23/17 Q1014=
",SBSP
1677981600000,"METAF SBSP 050200Z 04007KT CAVOK 23/17 Q1013=
",SBSP
1677985200000,"METAF SBSP 050300Z 03008KT 9999       SCT033   22/16 Q1013=
",SBSP
1677988800000,"METAF SBSP 050400Z 04007KT 9999       SCT033   22/15 Q1013=
",SBSP
1677992400000,"METAF SBSP 050500Z 03006KT 9999       FEW033   22/17 Q1012=
",SBSP
1677996000000,"METAF SBSP 050600Z 01004KT 9999       SCT033   22/17 Q1011=
",SBSP
1677999600000,"METAF SBSP 050700Z  35003KT 9999       SCT033   22/16 Q1011=
",SBSP
