hora,metaf,aero
1669507200000,"METAF SBGL 270000Z  13003KT 7000       OVC016   24/20 Q1020=
",SBGL
1669510800000,"METAF SBGL 270100Z 07002KT 5000     BR OVC012   23/20 Q1014=
",SBGL
1669514400000,"METAF SBGL 270200Z 03003KT 4000     BR OVC012   23/20 Q1013=
",SBGL
1669518000000,"METAF SBGL 270300Z  32003KT 4000     BR OVC033   22/20 Q1017=
",SBGL
1669521600000,"METAF SBGL 270400Z  35003KT 3000  - RABR OVC015   22/20 Q1015=
",SBGL
1669525200000,"METAF SBGL 270500Z 04002KT 3000  - RABR OVC033   22/20 Q1012=
",SBGL
1669528800000,"METAF SBGL 270600Z  31003KT 2000     BR OVC010   22/21 Q1017=
",SBGL
1669532400000,"METAF SBGL 270700Z  36001KT 1000     BR OVC033   21/20 Q1010=
",SBGL
1669536000000,"METAF SBGL 270800Z 07002KT 1000    RABR OVC033   21/20 Q1012=
",SBGL
1669539600000,"METAF SBGL 270900Z  10005KT 2000  - RABR OVC033   22/20 Q1016=
",SBGL
1669543200000,"METAF SBGL 271000Z  10009KT 5000    RABR OVC033   23/20 Q1015=
",SBGL
1669546800000,"METAF SBGL 271100Z  10010KT 8000  - RA  OVC033   24/20 Q1013=
",SBGL
1669550400000,"METAF SBGL 271200Z  18004KT 9999       OVC022   26/20 Q1018=
",SBGL
1669554000000,"METAF SBGL 271300Z  16007KT 9999       OVC023   26/20 Q1012=
",SBGL
1669557600000,"METAF SBGL 271400Z  14010KT 9999    RA  OVC021   26/20 Q1011=
",SBGL
1669561200000,"METAF SBGL 271500Z  12016KT 9999  -TSRA  OVC021 FEW030CB 27/21 Q1014=
",SBGL
1669564800000,"METAF SBGL 271600Z  12018KT 9999  -TSRA  OVC021 FEW030CB 27/20 Q1013=
",SBGL
1669568400000,"METAF SBGL 271700Z  11019KT 9999  -TSRA  OVC022 FEW030CB 26/20 Q1010=
",SBGL
1669572000000,"METAF SBGL 271800Z  13010KT 9999       OVC029   28/20 Q1015=
",SBGL
1669575600000,"METAF SBGL 271900Z  12010KT 9999    RA  OVC025   27/20 Q1008=
",SBGL
1669579200000,"METAF SBGL 272000Z  10013KT 9999  -TSRA  OVC022 FEW030CB 27/21 Q1009=
",SBGL
1669582800000,"METAF SBGL 272100Z 09012KT 9999  -TSRA  OVC019 FEW030CB 26/21 Q1013=
",SBGL
1669586400000,"METAF SBGL 272200Z 09012KT 9000  -TSRA  OVC016 FEW030CB 25/20 Q1012=
",SBGL
1669590000000,"METAF SBGL 272300Z 08011KT 6000    RA  OVC013   24/20 Q1011=
",SBGL
1669507200000,"METAF SBGR 270000Z  12005KT 7000       BKN015   18/14 Q1018=
",SBGR
1669510800000,"METAF SBGR 270100Z  13006KT 5000     BR BKN012   17/14 Q1014=
",SBGR
1669514400000,"METAF SBGR 270200Z  10006KT 4000     BR OVC033   17/14 Q1015=
",SBGR
1669518000000,"METAF SBGR 270300Z 09005KT 2000     BR OVC033   16/15 Q1019=
",SBGR
1669521600000,"METAF SBGR 270400Z  10003KT 2000     BR OVC010   16/15 Q1017=
",SBGR
1669525200000,"METAF SBGR 270500Z 07004KT 2000     BR OVC011   15/14 Q1012=
",SBGR
1669528800000,"METAF SBGR 270600Z  11004KT 3000     BR BKN033   15/14 Q1016=
",SBGR
1669532400000,"METAF SBGR 270700Z  11007KT 3000     BR BKN033   15/13 Q1011=
",SBGR
1669536000000,"METAF SBGR 270800Z 09008KT 2000     BR OVC033   16/14 Q1013=
",SBGR
1669539600000,"METAF SBGR 270900Z 08006KT 3000     BR OVC033   16/14 Q1017=
",SBGR
1669543200000,"METAF SBGR 271000Z 08005KT 5000     BR OVC027   17/15 Q1017=
",SBGR
1669546800000,"METAF SBGR 271100Z 09006KT 9000       BKN026   19/15 Q1013=
",SBGR
1669550400000,"METAF SBGR 271200Z 09007KT 9999       SCT022   21/15 Q1017=
",SBGR
1669554000000,"METAF SBGR 271300Z  12008KT 9999       BKN029   23/15 Q1013=
",SBGR
1669557600000,"METAF SBGR 271400Z  13011KT 9999       BKN033   24/15 Q1013=
",SBGR
1669561200000,"METAF SBGR 271500Z  13011KT 9999       BKN033   25/15 Q1017=
",SBGR
1669564800000,"METAF SBGR 271600Z  14012KT 9999    RA  OVC026   24/16 Q1016=
",SBGR
1669568400000,"METAF SBGR 271700Z  15012KT 9999  - RA  OVC024   23/17 Q1012=
",SBGR
1669572000000,"METAF SBGR 271800Z  13012KT 9999    RA  OVC027   24/16 Q1014=
",SBGR
1669575600000,"METAF SBGR 271900Z  14014KT 9999       OVC018   22/17 Q1009=
",SBGR
1669579200000,"METAF SBGR 272000Z  13014KT 9000       OVC014   21/17 Q1010=
",SBGR
1669582800000,"METAF SBGR 272100Z  13012KT 8000       OVC014   20/16 Q1014=
",SBGR
1669586400000,"METAF SBGR 272200Z  13010KT 3000     BR OVC033   19/17 Q1014=
",SBGR
1669590000000,"METAF SBGR 272300Z  13009KT 2000     BR OVC033   18/17 Q1011=
",SBGR
1669507200000,"METAF SBKP 270000Z  12011KT CAVOK 20/15 Q1017=
",SBKP
1669510800000,"METAF SBKP 270100Z  12011KT 8000       FEW021   19/15 Q1012=
",SBKP
1669514400000,"METAF SBKP 270200Z  12012KT 8000       FEW021   18/14 Q1013=
",SBKP
1669518000000,"METAF SBKP 270300Z  12012KT 7000       FEW020   18/14 Q1017=
",SBKP
1669521600000,"METAF SBKP 270400Z  12011KT 5000     BR SCT033   17/14 Q1015=
",SBKP
1669525200000,"METAF SBKP 270500Z  11009KT 4000     BR SCT033   16/14 Q1011=
",SBKP
1669528800000,"METAF SBKP 270600Z  11014KT 5000     BR SCT033   17/14 Q1014=
",SBKP
1669532400000,"METAF SBKP 270700Z  12013KT 4000     BR SCT033   16/14 Q1008=
",SBKP
