hora,metaf,aero
1664755200000,"METAF SBGL 030000Z  19002KT 4000     BR OVC033   21/19 Q1020=
",SBGL
1664758800000,"METAF SBGL 030100Z  30001KT 3000     BR OVC033   21/19 Q1018=
",SBGL
1664762400000,"METAF SBGL 030200Z  35003KT 3000     BR OVC033   20/18 Q1017=
",SBGL
1664766000000,"METAF SBGL 030300Z  34004KT 3000     BR OVC033   20/18 Q1020=
",SBGL
1664769600000,"METAF SBGL 030400Z  34004KT 3000     BR OVC033   20/18 Q1017=
",SBGL
1664773200000,"METAF SBGL 030500Z  33004KT 3000     BR OVC033   19/17 Q1014=
",SBGL
1664776800000,"METAF SBGL 030600Z  30002KT 1000     BR OVC033   19/18 Q1018=
",SBGL
1664780400000,"METAF SBGL 030700Z  32002KT 1000     BR OVC033   19/18 Q1014=
",SBGL
1664784000000,"METAF SBGL 030800Z  34003KT 1000     BR OVC033   19/18 Q1015=
",SBGL
1664787600000,"METAF SBGL 030900Z  32003KT 2000     BR OVC033   19/17 Q1019=
",SBGL
1664791200000,"METAF SBGL 031000Z  31002KT 5000     BR OVC033   20/17 Q1016=
",SBGL
1664794800000,"METAF SBGL 031100Z  23001KT 9000       OVC033   21/17 Q1015=
",SBGL
1664798400000,"METAF SBGL 031200Z  19004KT 9999       OVC033   23/18 Q1021=
",SBGL
1664802000000,"METAF SBGL 031300Z  17006KT 9999       OVC033   24/18 Q1015=
",SBGL
1664805600000,"METAF SBGL 031400Z  15006KT 9999       OVC033   24/17 Q1015=
",SBGL
1664809200000,"METAF SBGL 031500Z  15007KT 9999       BKN033   26/17 Q1017=
",SBGL
1664812800000,"METAF SBGL 031600Z  15009KT 9999       BKN033   25/17 Q1014=
",SBGL
1664816400000,"METAF SBGL 031700Z  14009KT 9999       BKN033   25/17 Q1010=
",SBGL
1664820000000,"METAF SBGL 031800Z  15010KT 9999       BKN033   25/17 Q1013=
",SBGL
