hora,metaf,aero
1663977600000,"METAF SBGL 240000Z  21007KT 9999       OVC033   19/13 Q1020=
",SBGL
1663981200000,"METAF SBGL 240100Z  20006KT 9999       OVC011   19/13 Q1017=
",SBGL
1663984800000,"METAF SBGL 240200Z  20004KT 9999       OVC010   19/13 Q1017=
",SBGL
1663988400000,"METAF SBGL 240300Z  24002KT 9999       OVC011   18/13 Q1022=
",SBGL
1663992000000,"METAF SBGL 240400Z  32004KT 9000       OVC033   18/13 Q1018=
",SBGL
1663995600000,"METAF SBGL 240500Z  34004KT 8000       BKN010   17/13 Q1016=
",SBGL
1663999200000,"METAF SBGL 240600Z  25004KT 9999       BKN033   18/13 Q1020=
",SBGL
1664002800000,"METAF SBGL 240700Z  24005KT 9999       BKN012   17/13 Q1016=
",SBGL
1664006400000,"METAF SBGL 240800Z  30003KT 9000       BKN012   17/13 Q1018=
",SBGL
1664010000000,"METAF SBGL 240900Z  32004KT 9999       BKN024   17/12 Q1022=
",SBGL
1664013600000,"METAF SBGL 241000Z  33005KT 9999       BKN023   17/12 Q1020=
",SBGL
1664017200000,"METAF SBGL 241100Z  33004KT 9999       BKN024   19/12 Q1019=
",SBGL
1664020800000,"METAF SBGL 241200Z  25005KT 9999       BKN030   20/12 Q1025=
",SBGL
1664024400000,"METAF SBGL 241300Z  22007KT 9999       BKN031   21/12 Q1019=
",SBGL
1664028000000,"METAF SBGL 241400Z  21008KT 9999       FEW033   22/12 Q1021=
",SBGL
1664031600000,"METAF SBGL 241500Z  21007KT CAVOK 22/11 Q1023=
",SBGL
1664035200000,"METAF SBGL 241600Z  19007KT CAVOK 23/10 Q1020=
",SBGL
1664038800000,"METAF SBGL 241700Z  19007KT CAVOK 23/10 Q1017=
",SBGL
1664042400000,"METAF SBGL 241800Z  19011KT CAVOK 22/12 Q1018=
",SBGL
1664046000000,"METAF SBGL 241900Z  19011KT CAVOK 21/12 Q1014=
",SBGL
1664049600000,"METAF SBGL 242000Z  19009KT 9999       FEW033   21/13 Q1018=
",SBGL
1664053200000,"METAF SBGL 242100Z  19006KT 9999       FEW033   21/13 Q1021=
",SBGL
1664056800000,"METAF SBGL 242200Z  18005KT 9999       BKN010   20/14 Q1020=
",SBGL
1664060400000,"METAF SBGL 242300Z  15003KT 9999       BKN010   20/13 Q1019=
",SBGL
1663977600000,"METAF SBGR 240000Z  14007KT 3000     BR OVC033   11/09 Q1020=
",SBGR
1663981200000,"METAF SBGR 240100Z  13007KT 4000     BR OVC033   11/09 Q1016=
",SBGR
1663984800000,"METAF SBGR 240200Z  10006KT 3000     BR OVC033   11/09 Q1014=
",SBGR
1663988400000,"METAF SBGR 240300Z 09005KT 4000     BR BKN033   11/09 Q1020=
",SBGR
1663992000000,"METAF SBGR 240400Z 06006KT 3000     BR BKN033   010/08 Q1015=
",SBGR
1663995600000,"METAF SBGR 240500Z 08005KT 3000     BR OVC033   010/08 Q1013=
",SBGR
1663999200000,"METAF SBGR 240600Z  12004KT 8000       FEW018   010/06 Q1021=
",SBGR
1664002800000,"METAF SBGR 240700Z  11003KT 7000       FEW016   09/06 Q1015=
",SBGR
1664006400000,"METAF SBGR 240800Z 07005KT 8000       FEW016   09/06 Q1014=
",SBGR
1664010000000,"METAF SBGR 240900Z 07005KT CAVOK 010/05 Q1020=
",SBGR
1664013600000,"METAF SBGR 241000Z 07006KT CAVOK 11/05 Q1017=
",SBGR
1664017200000,"METAF SBGR 241100Z 07006KT CAVOK 13/05 Q1016=
",SBGR
1664020800000,"METAF SBGR 241200Z  12006KT CAVOK 14/04 Q1026=
",SBGR
1664024400000,"METAF SBGR 241300Z  11005KT CAVOK 16/03 Q1018=
",SBGR
