flightid,origem,destino,dt_dep,dt_arr
2f3141bc4cb8e7d9e251ff00fb1f00da,SBPA,SBRJ,1665235532000,1665240952000
bc4ff604f0753201aa61852ac5fdbc3c,SBGR,SBBR,1665259985000,1665264744000
d6b9906ef94f571fd9999d8915572460,SBRF,SBBR,1665256379000,1665264213000
771f928ae7dd10756807298f4cc7deb7,SBCT,SBBR,1665259890000,1665265571000
456c911c8fdfc3b91d40a4a9fbb9b40e,SBSP,SBCF,1665193257000,1665196393000
12551cd605976325c40c1c9ecc6b82ec,SBGR,SBCF,1665194087000,1665197099000
e33dd072da66c3f2c70d66a4b0a57119,SBRJ,SBCF,1665193836000,1665196924000
e2450a4b2563d2e81380e9e5bb89e823,SBGR,SBCF,1665194277000,1665197351000
a0862d2ebaf058bc58bbca12208f1c27,SBRF,SBCF,1665245322000,1665252904000
6c049c441c23279ad8ee6c975a6be3bd,SBRJ,SBBR,1665191692000,1665197073000
75c8a7ee8664c1be8e066b0fbdedadc4,SBKP,SBBR,1665192922000,1665197280000
6928f7379a0f26e62b19bcba88d3e445,SBRJ,SBBR,1665192254000,1665197499000
d6bca88074bc432695c28e537d6f1e2e,SBSP,SBBR,1665193383000,1665198479000
42bd2ebcbbec2472e9fce2c42a1897e5,SBGR,SBBR,1665194736000,1665199389000
f9c1530870e86f269bd8e783daf076fe,SBRF,SBBR,1665192404000,1665200277000
d1f8812ccc753f1c4c3e6fdacca629cd,SBKP,SBFL,1665237942000,1665241101000
ac8ffe96f82efe1bcb4ada4cea8841a4,SBSP,SBFL,1665238578000,1665241744000
6624effe37a881e904c72d35bc5afe78,SBRJ,SBFL,1665238525000,1665242932000
15891d32aeddd9b71988f5cd9bfccb68,SBKP,SBFL,1665240555000,1665243737000
37c4d46c4b25b4ee1b55c353458ca5ce,SBPA,SBFL,1665190888000,1665193318000
a6d1c070a4a319f763f2350ef07c6dc9,SBRJ,SBFL,1665188591000,1665193168000
209257a7728b60858228fed398bab02a,SBSP,SBFL,1665190211000,1665192992000
64212c545fc01840a42213f385c5a6e8,SBKP,SBFL,1665247008000,1665250217000
77c7e35be7f38c9de6685967f34bd80f,SBSP,SBFL,1665247790000,1665251002000
4f35173ca6366cc30f1583ac96e9b9e4,SBSP,SBFL,1665249711000,1665252775000
f8385bd54b946d2dbcfa2df166501e38,SBRJ,SBFL,1665252463000,1665256597000
87f8c329bf044f1ee41f977c7e2cdf05,SBKP,SBFL,1665253939000,1665257089000
4830c57b373b799cdda619ba1a887c7a,SBSP,SBFL,1665254153000,1665257289000
b8c572b0e7aebff2e6a6c8f9e3e4e0c2,SBGR,SBFL,1665263364000,1665266519000
22d72d4fb76c91eb0cfdb7a903938110,SBKP,SBFL,1665265025000,1665268328000
506f032d261e79deea8dbfd6dd7f672a,SBPA,SBGR,1665216740000,1665221783000
137b9b7d355a6d36ef285e3aac728142,SBRJ,SBGR,1665219952000,1665222692000
0648692bab27ef746065f6d399102656,SBBR,SBGR,1665191598000,1665196103000
de17f71249ade4a6051fd88092c5f856,SBCF,SBGR,1665193782000,1665197047000
a2c87856f53db5b2b1ecd67d197ff637,SBCT,SBGR,1665195576000,1665198088000
e1e3adf58b1adff0579d8a08934b65ba,SBSV,SBGR,1665241216000,1665248667000
ef85c3045f75b564217460b21b78e55f,SBCF,SBGR,1665244877000,1665248433000
066e0354a37e54a2531e5373e592c011,SBRF,SBGR,1665238710000,1665249187000
bc46264dd3788509b7903a6c57fe1c17,SBPA,SBGR,1665243713000,1665249008000
17da89d2a326c0aeba8516795f52d8e5,SBRF,SBGR,1665202325000,1665212407000
283e28622acbb74acb1b65ef21de7c6a,SBRF,SBGR,1665203344000,1665213032000
a6f4da15dd5bd5a0f944aff317a2b222,SBRF,SBGR,1665203880000,1665213612000
6d9ef3b831fbd1ca45390da691a39c72,SBCF,SBGR,1665223967000,1665227157000
f844038816a0bc1691442dffc551ba6a,SBGL,SBGR,1665225516000,1665228418000
97362b68da37bb2fb1019d1652c5e9dd,SBPA,SBGR,1665188979000,1665194034000
dc086425015999416f80ab8ca0db6551,SBSP,SBRF,1665223523000,1665233712000
ee04b579d4288a73ee78e145924682d2,SBKP,SBRF,1665225059000,1665235448000
85e30ec4b86ffbab912182e3f0758f57,SBGR,SBRF,1665226635000,1665236518000
d3fb18151b191707998cf115ddd1b8a8,SBBR,SBRF,1665228670000,1665236758000
b2d68741a0eb728c874b4f98a08954f5,SBBR,SBRF,1665229059000,1665236998000
ad99f6f904f84fab967cffbc17a738ae,SBGR,SBRF,1665252755000,1665262735000
a82d9bd3abcc0052d55d6636de962f7b,SBGR,SBRF,1665245702000,1665255810000
78388af3eee178956fbc681e43d94472,SBSP,SBRF,1665245521000,1665255489000
27135a65c02f8de19fdbf1637631b485,SBGR,SBRF,1665245999000,1665256034000
0cb595dc0f97d1e257604a65d0a807dd,SBGR,SBCT,1665188801000,1665191190000
37f46599c897a1f9423b465b9e8388dc,SBSP,SBCT,1665190778000,1665193220000
55b93f59bdd2d61d646f758011235e0c,SBCF,SBCT,1665249776000,1665254672000
056199bcd30cee86eceec88d9f0e8726,SBSP,SBCT,1665253350000,1665255589000
cf047a8f9a824ac44ce456ee5632c3c4,SBGR,SBCT,1665254438000,1665256889000
9562555168ae8af5b848ea3447158a38,SBSP,SBCT,1665241516000,1665243948000
bf6e302952bcfa656240c1914cf20cd2,SBPA,SBCT,1665251846000,1665258658000
2954f34e67e2ba4231226ce7aba296e6,SBGR,SBCT,1665256448000,1665259013000
e948d65f28c9a176e85d2d3f20427067,SBSP,SBCT,1665258266000,1665260530000
ddcb014ffc140a260b4aabfcfb0e2a4c,SBGR,SBCT,1665258439000,1665260959000
61835197405541f92def39acfdfc5860,SBGR,SBCT,1665260420000,1665262901000
e9bfc7055866f1634c3b39668202d254,SBCF,SBCT,1665258008000,1665262749000
85af92cf6aa3906e4ac04a10f65e9537,SBPA,SBCT,1665266554000,1665269541000
0b44dc30ec9be7b04602338c3076efab,SBBR,SBCT,1665235130000,1665240737000
262ba9acfb450a67cf7979a412851a8a,SBSP,SBSV,1665229222000,1665236293000
7ef71a9f47530de372d294aa21b44546,SBSP,SBSV,1665222627000,1665229830000
ca9b033f7f4455d225a77173a6c28523,SBKP,SBSV,1665231672000,1665238706000
9c94622f3f0d20eeabc8c7f28f64052c,SBSP,SBSV,1665229439000,1665236661000
a4a2b6508e70e5e647a674c3bfa76aaa,SBGR,SBSV,1665237385000,1665244380000
67ea8cb4e88109cacd428b7c4ae9c624,SBGR,SBSV,1665198938000,1665205868000
aa34cb00dd48012ab7171b6fbdcb89ee,SBCF,SBSV,1665190851000,1665195907000
6eb8e2171063748a0ee652f054c80a61,SBRF,SBSV,1665244033000,1665247869000
6b74918011dfd0bc10b9f4b857777640,SBSP,SBSV,1665243716000,1665250943000
9211389b36cceb819b69a1256233ec96,SBRF,SBSV,1665229502000,1665233120000
81655c665c5a421f4a38cf7478729431,SBCF,SBSV,1665230369000,1665235242000
198367d65f086a642a9d3a4edc3c37ec,SBCT,SBSP,1665233199000,1665236114000
1b4a5fad8d74b243d2a0b7c1dc1e3d00,SBCT,SBSP,1665233199000,1665237228000
a72da231df555598c007fd912eaeb57f,SBCF,SBSP,1665224106000,1665227655000
24c774d1841b55bafffcdf72064601e0,SBCF,SBSP,1665218689000,1665222224000
24e070f7719319156bc8b345a77c3295,SBCF,SBSP,1665187551000,1665191447000
22a0de3bdef15cc4c95375c19ca40852,SBKP,SBSP,1665220446000,1665221250000
825f9a1b8a1c8f741d03f39a148b76d0,SBBR,SBSP,1665258345000,1665262935000
4437e509097a39e98d5ab3c3efe179db,SBSP,SBRJ,1665236903000,1665239328000
610a7c1ef057c3b7959ceb25b8e9904e,SBCT,SBRJ,1665236415000,1665239831000
c81b5c19e420293b632f3730a0181b47,SBRF,SBRJ,1665230882000,1665240039000
ebcceb2a3270dd233a0808fea0bdb8d1,SBFL,SBRJ,1665188718000,1665192724000
3a049cf9d404051ee319f953dd360683,SBSV,SBRJ,1665214630000,1665221201000
eb22d4dced56c7c8ddb7594816638187,SBSV,SBRJ,1665214918000,1665221430000
b1ee1171470cdffd3374d0c50c356908,SBGR,SBRJ,1665190579000,1665192928000
83eb404117cd8762e7086c743f5376d5,SBSP,SBRJ,1665220534000,1665222828000
c1e9d9575340f48d212c62055a5b028b,SBSP,SBRJ,1665221049000,1665223225000
64e892a7d281e07aa6156085aa947fb1,SBGL,SBRJ,1665222916000,1665223841000
11532b907c48c59815bbcf16d121939b,SBBR,SBRJ,1665219665000,1665224125000
d1a978eada544965f311085f698a741d,SBKP,SBRJ,1665222358000,1665224942000
8f46508485cb56beaee7cdc2ab530321,SBPA,SBRJ,1665220265000,1665225580000
5feae58ebdee44e64cdb3b6b416acd58,SBPA,SBRJ,1665220066000,1665225423000
91e1f28d7299de2acbf91f9dbf472df9,SBCF,SBRJ,1665231855000,1665235165000
43af57e117fbc23dcf24d85b63e33061,SBBR,SBRJ,1665229945000,1665235002000
4e3abcdd05b14b49d4ed4dde239907d5,SBPA,SBRJ,1665230120000,1665235954000
2af38be3b1fb20688d5b1c2d47daa342,SBSP,SBRJ,1665233202000,1665235628000
00386f4aba9d9c2594405d29cb0f1e36,SBSP,SBRJ,1665234028000,1665236513000
8d995b60ce59184cb02856227e5e4f78,SBSV,SBRJ,1665229719000,1665236643000
dfe276ea1c14ee00d605f4d3b3795610,SBSP,SBRJ,1665234150000,1665236820000
f6d515bdb24477b0c437cbc013f1bffe,SBCT,SBRJ,1665233376000,1665236988000
f470fe217c32fe4d346d252f3a681805,SBCF,SBSP,1665192572000,1665195582000
e511f5d0e679524b9183a17d08c7d4be,SBBR,SBSP,1665221532000,1665226100000
818a7034280bbf12fbc41da6ad8b9be2,SBCF,SBSV,1665220144000,1665225033000
423c3126278d73c9ed3993059a1c28cf,SBRJ,SBSP,1665255742000,1665259099000
3035242cf9dd78198f051f67f616192f,SBBR,SBSP,1665265809000,1665271368000
774ea0c380502e21183bed0cc892f989,SBCF,SBSP,1665189639000,1665193307000
fba928d483cfacb95901880a35bef277,SBCF,SBSP,1665233238000,1665238467000
895415b821d404c776f8a92b09e72037,SBBR,SBSP,1665217655000,1665222413000
09c9a3b6b42b704b34305298ca842af8,SBRJ,SBSP,1665241336000,1665244040000
086437015a46efbd162c0dd5ed9e5fee,SBFL,SBSP,1665260871000,1665264128000
a3d1239dd07d481468fc1069d5c7a348,SBRJ,SBSP,1665226974000,1665229983000
dc0a42f53958a84856a753fcafe9f3f7,SBCT,SBSP,1665187632000,1665190841000
cbd76bbd69f74173fc1b01faa0982c1f,SBPA,SBSP,1665243959000,1665248290000
5a3fbdf396b074e45ba6780595a91ed6,SBCT,SBSP,1665246943000,1665249455000
6e52f54f0b4a9864a5ca4eef64ca996f,SBCF,SBSP,1665237228000,1665241306000
b06e4005f95042741d6dd96e72d6b3ec,SBRJ,SBSP,1665249439000,1665252145000
410e6e6026dd04908d06e693bab46647,SBFL,SBSP,1665231747000,1665235348000
cb37c919f60790d3bc0fa419f0d97c4e,SBRJ,SBSP,1665235235000,1665238079000
c8875a8f9646175b4796e3a009bf7e94,SBRJ,SBSP,1665246340000,1665248876000
c10a39a2c51641dbb070816e16915e68,SBCF,SBSP,1665253810000,1665257310000
c001ce3891b0e82a9196529c63ecaa35,SBCF,SBSP,1665266036000,1665269494000
02dd6413041c26a87a5a870f6ce17006,SBFL,SBSP,1665264566000,1665267543000
f2229b344d732c3002b120133751af34,SBCT,SBKP,1665189392000,1665191569000
36a3106720d5ccebb289ad1f43a96412,SBSP,SBKP,1665190907000,1665192196000
02010ea42ebf6c0d1492c53db06cd662,SBGL,SBKP,1665189638000,1665193359000
eacecc9b18c3fc7735df99d28594c2b6,SBBR,SBKP,1665188514000,1665193163000
70245333a5992e2f724de56e9d1aff1a,SBFL,SBKP,1665190371000,1665193999000
980cd737c63b63b63056eb80fa321ad2,SBBR,SBKP,1665191198000,1665195674000
d9fad463a893946979d488a2aa3050bf,SBCT,SBKP,1665193398000,1665196716000
cf3a9824c9a6374de1a1e311fe3ea2e2,SBSV,SBKP,1665209180000,1665216743000
42964d479dcce8fbd6a6912be8fec0bd,SBGL,SBKP,1665219536000,1665222645000
c9f14a3ed27fcad38da918bcf4f584dc,SBPA,SBKP,1665218604000,1665223250000
81c4b7dbe6e9ae40062b401ed8590fc0,SBFL,SBKP,1665219243000,1665222934000
67c89fef57317ae15724895be21b9d04,SBCF,SBKP,1665220676000,1665224127000
595c78ea62372c2c592ab3d6f7e61ac7,SBRJ,SBKP,1665220119000,1665223553000
228366ccb1802d279c119da186d8b2fb,SBFL,SBKP,1665228187000,1665231431000
a1ea3e5bcc73faa692aae7be38d7ccf3,SBGL,SBKP,1665265209000,1665268840000
fec95c8befd051715a0d7bc8a20f36d1,SBFL,SBKP,1665266672000,1665269993000
67cba2378cd022ed30302d661894289a,SBSV,SBKP,1665262883000,1665270375000
71e6d287146218100abb523f08adbb71,SBRJ,SBKP,1665267322000,1665270837000
8db3236573ca250e6e05ff5d062ec468,SBCT,SBKP,1665268755000,1665271503000
bd95bcf71d170f0956cb8e69bf8f813f,SBBR,SBKP,1665267187000,1665271794000
c639b2fc78ed45c5def23160da30f9f8,SBCF,SBKP,1665252384000,1665255570000
13822642cbc7bc9d5489fe16ff012f0b,SBSV,SBKP,1665248156000,1665255445000
ac905826bd97c89730c5c1fb39d91e32,SBPA,SBSP,1665261665000,1665266201000
7f3b7d1eccee4a71188f69f7fd675c02,SBGR,SBPA,1665237757000,1665242606000
b1796df4dce1db41fb1a682c72b33849,SBKP,SBPA,1665223089000,1665227925000
7dbf41080f5ca11fc3c1e86eb696f937,SBSP,SBPA,1665238337000,1665243020000
05b34cef13fa011e36e8784c18b454d5,SBGR,SBPA,1665232705000,1665237821000
