esperas,hora,aero
0,1680566400000,SBBR
0,1680570000000,SBBR
0,1680573600000,SBBR
0,1680577200000,SBBR
0,1680580800000,SBBR
0,1680584400000,SBBR
0,1680588000000,SBBR
0,1680591600000,SBBR
0,1680595200000,SBBR
0,1680598800000,SBBR
0,1680602400000,SBBR
0,1680606000000,SBBR
0,1680609600000,SBBR
0,1680613200000,SBBR
0,1680616800000,SBBR
0,1680620400000,SBBR
0,1680624000000,SBBR
0,1680627600000,SBBR
0,1680631200000,SBBR
0,1680634800000,SBBR
0,1680638400000,SBBR
0,1680642000000,SBBR
0,1680645600000,SBBR
0,1680649200000,SBBR
0,1680566400000,SBCF
0,1680570000000,SBCF
0,1680573600000,SBCF
0,1680577200000,SBCF
0,1680580800000,SBCF
0,1680584400000,SBCF
0,1680588000000,SBCF
0,1680591600000,SBCF
0,1680595200000,SBCF
0,1680598800000,SBCF
0,1680602400000,SBCF
0,1680606000000,SBCF
0,1680609600000,SBCF
0,1680613200000,SBCF
0,1680616800000,SBCF
0,1680620400000,SBCF
0,1680624000000,SBCF
0,1680627600000,SBCF
0,1680631200000,SBCF
0,1680634800000,SBCF
0,1680638400000,SBCF
0,1680642000000,SBCF
0,1680645600000,SBCF
0,1680649200000,SBCF
0,1680566400000,SBCT
0,1680570000000,SBCT
0,1680573600000,SBCT
0,1680577200000,SBCT
0,1680580800000,SBCT
0,1680584400000,SBCT
0,1680588000000,SBCT
0,1680591600000,SBCT
0,1680595200000,SBCT
0,1680598800000,SBCT
0,1680602400000,SBCT
0,1680606000000,SBCT
0,1680609600000,SBCT
0,1680613200000,SBCT
0,1680616800000,SBCT
0,1680620400000,SBCT
0,1680624000000,SBCT
0,1680627600000,SBCT
0,1680631200000,SBCT
0,1680634800000,SBCT
0,1680638400000,SBCT
0,1680642000000,SBCT
0,1680645600000,SBCT
0,1680649200000,SBCT
0,1680566400000,SBFL
0,1680570000000,SBFL
0,1680573600000,SBFL
0,1680577200000,SBFL
0,1680580800000,SBFL
0,1680584400000,SBFL
0,1680588000000,SBFL
0,1680591600000,SBFL
0,1680595200000,SBFL
0,1680598800000,SBFL
0,1680602400000,SBFL
0,1680606000000,SBFL
0,1680609600000,SBFL
0,1680613200000,SBFL
0,1680616800000,SBFL
0,1680620400000,SBFL
0,1680624000000,SBFL
0,1680627600000,SBFL
0,1680631200000,SBFL
0,1680634800000,SBFL
0,1680638400000,SBFL
0,1680642000000,SBFL
0,1680645600000,SBFL
0,1680649200000,SBFL
0,1680566400000,SBGL
0,1680570000000,SBGL
0,1680573600000,SBGL
0,1680577200000,SBGL
0,1680580800000,SBGL
0,1680584400000,SBGL
0,1680588000000,SBGL
0,1680591600000,SBGL
0,1680595200000,SBGL
0,1680598800000,SBGL
0,1680602400000,SBGL
0,1680606000000,SBGL
