esperas,hora,aero
0,1662249600000,SBBR
0,1662253200000,SBBR
0,1662256800000,SBBR
0,1662260400000,SBBR
0,1662264000000,SBBR
0,1662267600000,SBBR
0,1662271200000,SBBR
0,1662274800000,SBBR
0,1662278400000,SBBR
0,1662282000000,SBBR
0,1662285600000,SBBR
0,1662289200000,SBBR
0,1662292800000,SBBR
0,1662296400000,SBBR
0,1662300000000,SBBR
0,1662303600000,SBBR
0,1662307200000,SBBR
0,1662310800000,SBBR
0,1662314400000,SBBR
0,1662318000000,SBBR
0,1662321600000,SBBR
0,1662325200000,SBBR
0,1662328800000,SBBR
0,1662332400000,SBBR
0,1662249600000,SBCF
0,1662253200000,SBCF
0,1662256800000,SBCF
0,1662260400000,SBCF
0,1662264000000,SBCF
0,1662267600000,SBCF
0,1662271200000,SBCF
0,1662274800000,SBCF
0,1662278400000,SBCF
0,1662282000000,SBCF
0,1662285600000,SBCF
0,1662289200000,SBCF
0,1662292800000,SBCF
0,1662296400000,SBCF
0,1662300000000,SBCF
0,1662303600000,SBCF
2,1662307200000,SBCF
0,1662310800000,SBCF
0,1662314400000,SBCF
0,1662318000000,SBCF
0,1662321600000,SBCF
0,1662325200000,SBCF
0,1662328800000,SBCF
0,1662332400000,SBCF
0,1662249600000,SBCT
0,1662253200000,SBCT
0,1662256800000,SBCT
0,1662260400000,SBCT
0,1662264000000,SBCT
0,1662267600000,SBCT
0,1662271200000,SBCT
0,1662274800000,SBCT
0,1662278400000,SBCT
0,1662282000000,SBCT
0,1662285600000,SBCT
0,1662289200000,SBCT
0,1662292800000,SBCT
0,1662296400000,SBCT
0,1662300000000,SBCT
0,1662303600000,SBCT
0,1662307200000,SBCT
0,1662310800000,SBCT
0,1662314400000,SBCT
0,1662318000000,SBCT
0,1662321600000,SBCT
0,1662325200000,SBCT
0,1662328800000,SBCT
0,1662332400000,SBCT
0,1662249600000,SBFL
0,1662253200000,SBFL
0,1662256800000,SBFL
0,1662260400000,SBFL
0,1662264000000,SBFL
0,1662267600000,SBFL
0,1662271200000,SBFL
0,1662274800000,SBFL
0,1662278400000,SBFL
0,1662282000000,SBFL
0,1662285600000,SBFL
0,1662289200000,SBFL
