hora,nova_cabeceira,antiga_cabeceira,aero
1676379233000,17,10,SV
1676335665000,20L,02R,RJ
1676335896000,02R,20L,RJ
1676336184000,33,15,CT
1676336934000,35L,17R,SP
1676379486000,10,17,SV
1676342497000,17,10,SV
1676342716000,10,17,SV
1676380071000,33,01,KP
1676348073000,17,10,SV
1676348278000,10,17,SV
1676360676000,33,15,KP
1676365801000,15,21,GL
1676380274000,28L,10R,GR
1676380439000,17,10,SV
1676380573000,15,08,GL
1676370851000,33,02L,KP
1676380834000,33,36,KP
1676371768000,02R,21,RJ
1676381443000,03,32,FL
1676372766000,02R,08,RJ
1676373072000,17,10,SV
1676373199000,10,17,SV
1676373907000,03,32,FL
1676381817000,32,05,FL
1676374726000,15,03,GL
1676375787000,29,11,PA
1676375808000,15,02R,GL
1676381923000,20L,02R,RJ
1676381976000,10,11,SV
1676382154000,03,32,FL
1676377679000,32,03,FL
1676377854000,15,08,GL
1676382262000,02R,20L,RJ
1676378171000,15,08,GL
1676378304000,32,25,FL
1676382554000,32,03,FL
1676382761000,15,03,GL
1676383000000,33,36,KP
1676383363000,34,16,CF
1676384049000,17,10,SV
1676389495000,10,17,SV
1676384154000,10,17,SV
1676405896000,35L,18,SP
1676384980000,03,32,FL
1676406876000,17,10,SV
1676407168000,29,15,CT
1676407617000,33,29,CT
1676407928000,10,17,SV
1676391586000,20L,02R,RJ
1676392178000,33,16,KP
1676408263000,18,07,RF
1676385195000,35L,17,SP
1676409139000,20L,21,RJ
1676409435000,17,10,SV
1676392542000,17,10,SV
1676392699000,10,17,SV
1676392850000,03,32,FL
1676392928000,03,07,FL
1676394270000,32,03,FL
1676410105000,10,17,SV
1676411132000,16,34,CF
1676385500000,32,03,FL
1676411890000,34,16,CF
1676412519000,16,34,CF
1676394836000,15,21,GL
1676386571000,35,10,SV
1676395361000,03,32,FL
1676395445000,15,21,GL
1676396838000,17,10,SV
1676415790000,16,13,CF
1676416303000,02R,20L,RJ
1676416451000,17,10,SV
1676418329000,02R,33,RJ
1676418452000,33,02R,KP
1676397001000,32,03,FL
1676397288000,10,17,SV
1676398371000,03,07,FL
1676398416000,03,32,FL
1676399913000,15,20R,GL
1676400056000,20L,15,RJ
1676400385000,11,29,PA
1676400802000,17,10,SV
1676401023000,10,17,SV
1676401096000,17,10,SV
1676401893000,10,17,SV
1676402460000,32,07,FL
1676402734000,03,32,FL
1676403024000,33,34,KP
1676403026000,32,03,FL
1676403120000,34,33,CF
1676403212000,03,32,FL
1676403298000,15,33,CT
1676403716000,32,03,FL
1676404302000,15,26,GL
1676404595000,17,10,SV
1676404780000,10,17,SV
1676386698000,02R,21,RJ
1676386811000,17,35,SV
1676387444000,10,17,SV
1676387728000,11R,08,BR
1676387733000,03,32,FL
1676387747000,10,17,SV
1676388705000,32,03,FL
1676388845000,17,10,SV
