hora,nova_cabeceira,antiga_cabeceira,aero
1662131225000,15,16,GL
1662119453000,17,10,SV
1662119875000,02R,08,RJ
1662121312000,02R,03,RJ
1662121317000,02R,03,RJ
1662131358000,17,10,SV
1662121534000,33,15,CT
1662132401000,33,06,KP
1662121841000,10,17,SV
1662122259000,03,25,FL
1662122367000,17,10,SV
1662122573000,15,18,KP
1662122832000,33,08,CT
1662122838000,03,32,FL
1662123259000,33,15,KP
1662079457000,02R,20L,RJ
1662123297000,10,17,SV
1662132459000,33,09,KP
1662132565000,10,17,SV
1662123768000,17,10,SV
1662132819000,17,10,SV
1662124043000,10,17,SV
1662091054000,17,10,SV
1662092497000,29,11,PA
1662092586000,10,17,SV
1662105471000,15,18,KP
1662124877000,32,03,FL
1662108334000,11,29,PA
1662133829000,10,17,SV
1662109618000,35L,17R,SP
1662110069000,20L,02R,RJ
1662111314000,02R,20L,RJ
1662111785000,35L,30,SP
1662112858000,15,03,GL
1662113009000,03,32,FL
1662113490000,18,16L,RF
1662125732000,32,03,FL
1662125771000,17,10,SV
1662126270000,03,32,FL
1662126353000,33,05,KP
1662126495000,10,17,SV
1662114546000,15,36,CT
1662114845000,29,11,PA
1662134289000,29,33,CT
1662115519000,15,08,GL
1662115825000,32,03,FL
1662115872000,15,08,GL
1662127314000,32,03,FL
1662135605000,17,10,SV
1662127601000,15,03,GL
1662135985000,10,17,SV
1662129152000,09R,36,GR
1662129204000,02R,03,RJ
1662136217000,35L,16,SP
1662136218000,17,10,SV
1662136685000,33,29,CT
1662129846000,33,08,CT
1662129874000,27L,09R,GR
1662136742000,10,17,SV
1662136763000,15,03,GL
1662130381000,29,33,CT
1662130402000,33,29,CT
1662142671000,15,02C,CT
1662137356000,17,10,SV
1662142768000,33,27L,KP
1662142899000,27L,33,GR
1662137508000,10,17,SV
1662137687000,18,05,RF
1662143530000,17,10,SV
1662138201000,15,02R,GL
1662144516000,29,36,CT
1662153117000,11,15,CT
1662153388000,33,05,KP
1662138474000,17,10,SV
1662153846000,15,11,CT
1662155508000,17,10,SV
1662155698000,10,17,SV
1662156967000,14,32,FL
1662158921000,15,33,KP
1662159171000,17,10,SV
1662159885000,10,17,SV
1662161893000,09R,27L,GR
1662144609000,15,08,GL
1662145063000,11,15,PA
1662145666000,10,17,SV
1662146630000,17,10,SV
1662146982000,29,26,PA
1662147081000,10,17,SV
1662147174000,17R,35L,SP
1662147515000,15,20L,GL
1662147591000,33,34,KP
1662147605000,35L,17L,SP
1662147924000,17R,35L,SP
1662149540000,17,10,SV
1662149682000,17R,33,SP
1662149772000,29,15,PA
1662150561000,10,17,SV
1662150608000,29,15,PA
1662138583000,10,17,SV
1662151598000,17,10,SV
1662138951000,15,03,GL
1662138969000,15,33,CT
1662152152000,10,17,SV
1662139005000,11,29,PA
1662139834000,16,13,CF
1662139889000,20L,02R,RJ
1662140440000,20L,03,RJ
1662140453000,15,20L,GL
1662140514000,17,10,SV
1662140645000,15,08,GL
1662140756000,10,17,SV
1662140787000,20L,15,RJ
1662140966000,33,36,KP
1662141219000,15,36,CT
1662142384000,33,15,KP
