hora,nova_cabeceira,antiga_cabeceira,aero
1656895857000,02R,20L,RJ
1656926563000,15,21,GL
1656927692000,15,07,KP
1656928714000,32,14,FL
1656930762000,15,26,GL
1656931385000,15,21,GL
1656931587000,35L,17L,SP
1656931910000,33,25,CT
1656932435000,15,16,GL
1656932696000,15,21,GL
1656933516000,17,10,SV
1656943226000,21,25,FL
1656943303000,35L,17,SP
1656944101000,11R,06L,BR
1656933606000,09R,16,GR
1656944681000,10,15,SV
1656933753000,10,17,SV
1656933928000,17,10,SV
1656945270000,17,10,SV
1656934757000,10,17,SV
1656934876000,32,14,FL
1656935408000,14,32,FL
1656936251000,32,14,FL
1656947526000,10,17,SV
1656947551000,17,10,SV
1656947655000,15,21,GL
1656947927000,16,13,CF
1656947954000,09R,02C,GR
1656936528000,17,10,SV
1656948239000,16,13,CF
1656948344000,09R,02C,GR
1656956511000,17,10,SV
1656948360000,10,17,SV
1656936554000,15,03,GL
1656937013000,11,33,CT
1656948685000,29,11,PA
1656956861000,10,17,SV
1656956907000,03,07,FL
1656956976000,20L,21,RJ
1656937038000,33,11,CT
1656957755000,32,03,FL
1656937061000,14,32,FL
1656949617000,35L,18,SP
1656938015000,10,17,SV
1656950064000,17,10,SV
1656950289000,18,35L,RF
1656950345000,20L,02R,RJ
1656951066000,10,17,SV
1656958833000,27L,16,GR
1656959810000,15,26,GL
1656959922000,03,32,FL
1656959951000,33,36,CT
1656960113000,17,10,SV
1656951605000,17,10,SV
1656951953000,33,08,CT
1656939401000,33,36,CT
1656952066000,10,17,SV
1656952205000,15,26,GL
1656952346000,27L,09R,GR
1656961340000,15,21,GL
1656961594000,11,29,PA
1656939608000,29,11,PA
1656961611000,09L,27L,GR
1656953622000,03,32,FL
1656953831000,32,03,FL
1656954099000,11,29,PA
1656961889000,27L,09L,GR
1656961974000,15,07,GL
1656954574000,03,32,FL
1656954608000,32,03,FL
1656962233000,10,17,SV
1656939727000,15,26,GL
1656962458000,17,10,SV
1656954951000,17,10,SV
1656955042000,10,17,SV
1656939957000,32,14,FL
1656963364000,20L,15,RJ
1656963425000,32,03,FL
1656940869000,33,15,KP
1656963957000,20L,21,RJ
1656964037000,10,17,SV
1656964408000,17,10,SV
1656964544000,10,17,SV
1656941001000,17,10,SV
1656941323000,11,29,PA
1656964979000,11L,14,BR
1656965195000,03,32,FL
1656965919000,17,10,SV
1656966021000,15,26,GL
1656966541000,32,03,FL
1656973483000,10,17,SV
1656967187000,10,17,SV
1656941327000,10,17,SV
1656967972000,17,10,SV
1656941959000,17,10,SV
1656968869000,15,21,GL
1656969431000,10,17,SV
1656969807000,17,10,SV
1656942102000,33,08,CT
1656971265000,10,17,SV
1656971678000,15,33,KP
1656972144000,09R,27L,GR
1656972955000,09R,16,GR
1656942183000,11R,14,BR
1656973391000,17,10,SV
1656942372000,10,17,SV
