hora,nova_cabeceira,antiga_cabeceira,aero
1663494116000,32,14,FL
1663496640000,15,22,KP
1663497084000,02R,20L,RJ
1663497793000,15,16,KP
1663499204000,15,17,KP
1663501659000,15,14,KP
1663501961000,17,10,SV
1663502203000,16,13,CF
1663503507000,10,17,SV
1663505742000,17,10,SV
1663514574000,32,03,FL
1663530473000,03,07,FL
1663515852000,03,32,FL
1663516997000,10,17,SV
1663517048000,32,03,FL
1663517929000,15,26,CT
1663518196000,16,13,CF
1663507074000,32,05,FL
1663507102000,10,17,SV
1663507361000,17,10,SV
1663507579000,10,17,SV
1663508562000,17,10,SV
1663508717000,10,17,SV
1663531309000,15,17R,KP
1663509077000,17,10,SV
1663509723000,03,32,FL
1663509980000,10,17,SV
1663521255000,03,32,FL
1663521304000,15,26,CT
1663531437000,17,10,SV
1663510514000,15,02R,GL
1663510814000,02L,15,RJ
1663510920000,15,08,CT
1663521666000,21,03,FL
1663511205000,18,03,RF
1663521812000,32,21,FL
1663511693000,17,10,SV
1663531614000,03,15,FL
1663512035000,21,03,FL
1663512078000,32,21,FL
1663531894000,10,17,SV
1663512511000,17R,03,SP
1663512781000,17R,16,SP
1663523016000,15,26,CT
1663523412000,20L,23,RJ
1663523844000,20L,21,RJ
1663532040000,29L,11L,BR
1663524239000,17,10,SV
1663524406000,15,21,GL
1663524625000,10,17,SV
1663513658000,20L,02R,RJ
1663513913000,03,32,FL
1663525053000,20L,21,RJ
1663532933000,32,15,FL
1663525945000,17,10,SV
1663534255000,15,20L,GL
1663527370000,16,13,CF
1663528000000,10,17,SV
1663528009000,16,13,CF
1663528142000,32,07,FL
1663528874000,03,32,FL
1663529017000,32,11,FL
1663534414000,20L,15,RJ
1663534658000,03,32,FL
1663529543000,32,07,FL
1663534850000,32,03,FL
1663529708000,17,10,SV
1663529977000,10,17,SV
1663535138000,11L,29R,BR
1663537245000,17R,16,SP
1663537437000,10R,12,GR
1663538270000,17,10,SV
1663538689000,10,17,SV
1663539895000,21,32,FL
1663540416000,29R,11L,BR
1663540549000,32,21,FL
1663540599000,03,32,FL
1663541185000,32,03,FL
1663541593000,17,10,SV
1663541849000,10,17,SV
