hora,nova_cabeceira,antiga_cabeceira,aero
1676809586000,15,21,GL
1676809802000,10,17,SV
1676809808000,15,08,GL
1676810030000,21,07,FL
1676811930000,11,15,PA
1676812813000,20L,02R,RJ
1676812966000,17R,35L,SP
1676813446000,21,23,FL
1676813719000,17,10,SV
1676813978000,10,17,SV
1676814313000,14,21,FL
1676815905000,17,10,SV
1676815939000,21,25,FL
1676816033000,14,21,FL
1676816148000,10,17,SV
1676816214000,20L,21,RJ
1676816630000,17,10,SV
1676817121000,10,17,SV
1676819594000,17,10,SV
1676821522000,10,17,SV
1676824128000,21,14,FL
1676825907000,14,25,FL
1676826279000,11L,21,BR
1676828042000,21,17,FL
1676830819000,15,33,KP
1676831564000,20L,21,RJ
1676832441000,17,10,SV
1676832768000,10,17,SV
1676765089000,14,21,FL
1676765839000,10,17,SV
1676835206000,15,16,KP
1676768364000,17,10,SV
1676835833000,15,08,GL
1676835951000,17,10,SV
1676769384000,15,33,KP
1676769702000,10,17,SV
1676774907000,17,10,SV
1676837490000,10,17,SV
1676837592000,17,10,SV
1676776151000,10,17,SV
1676838390000,35,17,SV
1676800618000,33,15,KP
1676839089000,11R,18,BR
1676839142000,17,35,SV
1676839748000,10,17,SV
1676840058000,17,10,SV
1676840504000,10,17,SV
1676806094000,17,10,SV
1676846606000,15,21,GL
1676808648000,21,32,FL
1676850420000,17,10,SV
1676809310000,15,33,KP
