hora,nova_cabeceira,antiga_cabeceira,aero
1676419546000,10,17,SV
1676421735000,15,33,KP
1676422005000,15,33,CT
1676426627000,02R,28L,RJ
1676426697000,02R,10,RJ
1676426714000,10,02R,SV
1676427254000,33,15,CT
1676427457000,28L,02R,GR
1676434736000,29,11,PA
1676440818000,10L,28R,GR
1676442607000,28R,10L,GR
1676444603000,33,15,GL
1676450606000,11,29,PA
1676451951000,29,11,PA
1676452337000,16,35L,CF
1676452466000,35L,16,SP
1676453850000,33,21,GL
1676454648000,10R,28L,GR
1676455031000,14,32,FL
1676456635000,15,33,GL
1676456730000,15,33,GL
1676456864000,15,08,GL
1676457622000,35L,18,SP
1676457628000,15,08,GL
1676458128000,15,03,GL
1676458300000,32,14,FL
1676459591000,17,10,SV
1676460220000,10,17,SV
1676460820000,33,15,KP
1676477933000,32,33,FL
1676461791000,29,33,CT
1676461966000,33,29,CT
1676479079000,21,14,FL
1676479237000,11,29,PA
1676479504000,02R,21,RJ
1676479872000,20L,02R,RJ
1676480189000,35L,17,SP
1676480506000,14,21,FL
1676480700000,17,10,SV
1676480886000,10,17,SV
1676481503000,15,10,GL
1676481536000,17,10,SV
1676464589000,14,32,FL
1676464912000,21,14,FL
1676465131000,10R,34,GR
1676465248000,14,21,FL
1676465485000,14,03,FL
1676465618000,17,10,SV
1676482190000,10,17,SV
1676465756000,10,17,SV
1676482278000,35,10,SV
1676482594000,10,35,SV
1676482641000,21,32,FL
1676465843000,32,14,FL
1676465894000,02R,03,RJ
1676482750000,17,10,SV
1676482901000,21,14,FL
1676482915000,14,21,FL
1676494432000,10,17,SV
1676484101000,10,17,SV
1676484507000,17,10,SV
1676484546000,21,14,FL
1676466955000,28L,10R,GR
1676467195000,21,32,FL
1676467313000,15,08,GL
1676467439000,17,10,SV
1676467949000,33,36,KP
1676468162000,34,16,CF
1676468248000,10,17,SV
1676468521000,02R,21,RJ
1676468592000,17,10,SV
1676468715000,10,17,SV
1676468979000,14,21,FL
1676485226000,14,21,FL
1676494970000,17,10,SV
1676486342000,11R,29L,BR
1676486486000,15,21,GL
1676486746000,15,33,KP
1676487022000,10,17,SV
1676471523000,17,10,SV
1676495326000,10,17,SV
1676472027000,10,17,SV
1676472333000,33,36,CT
1676488749000,15,21,GL
1676489458000,17,10,SV
1676489751000,15,10,GL
1676489780000,17R,35L,SP
1676489800000,15,20L,GL
1676472666000,17,10,SV
1676472722000,02R,20L,RJ
1676490021000,20L,15,RJ
1676495428000,35,10,SV
1676490580000,10,17,SV
1676496151000,15,21,GL
1676491123000,17,10,SV
1676491610000,10,17,SV
1676474167000,21,14,FL
1676496163000,15,21,GL
1676496203000,10,35,SV
1676492222000,17,10,SV
1676492273000,35L,17R,SP
1676492327000,29,11,PA
1676476210000,17,10,SV
1676476471000,10,17,SV
1676496644000,15,23,GL
1676477008000,29R,11L,BR
1676477393000,14,21,FL
1676492973000,15,21,KP
1676497549000,15,23,GL
1676499689000,17,10,SV
1676500084000,02R,20L,RJ
1676500224000,10R,28L,GR
1676500362000,10,17,SV
1676500380000,15,33,CT
1676500659000,33,15,KP
1676500760000,11,29,PA
1676501285000,20L,02R,RJ
1676502069000,28,15,GL
1676502409000,02R,35R,RJ
1676502469000,35L,02R,SP
1676502839000,02R,20L,RJ
1676503812000,17,10,SV
1676504937000,10,28,GL
