hora,nova_cabeceira,antiga_cabeceira,aero
1671771692000,17,10,SV
1671772594000,10,17,SV
1671780895000,29R,11L,BR
1671802235000,15,32,KP
1671785321000,32,20L,FL
1671786881000,02R,32,RJ
1671788173000,15,22,GL
1671788624000,02R,29L,RJ
1671788651000,29R,02R,BR
1671789314000,11L,29R,BR
1671802725000,17,10,SV
1671789933000,29R,11L,BR
1671790129000,11L,29R,BR
1671790728000,03,32,FL
1671791060000,21,03,FL
1671791851000,15,08,GL
1671792543000,15,21,GL
1671792556000,15,08,GL
1671792745000,02R,15,RJ
1671803505000,10,17,SV
1671793083000,03,07,FL
1671794683000,15,21,GL
1671794907000,32,21,FL
1671804453000,15,07,KP
1671796144000,29L,11L,BR
1671804685000,11R,29R,BR
1671804836000,15,17,KP
1671797351000,16,13,CF
1671756758000,11L,29L,BR
1671805208000,03,32,FL
1671762084000,32,14,FL
1671765797000,17,10,SV
1671765939000,10,17,SV
1671798439000,11,13,PA
1671798485000,15,18,KP
1671805922000,17,10,SV
1671799102000,15,08,GL
1671806175000,21,03,FL
1671806495000,32,25,FL
1671806648000,10,17,SV
1671814357000,11,05,PA
1671806833000,32,21,FL
1671801112000,17,10,SV
1671807137000,17,08,SV
1671807193000,17,10,SV
1671801641000,10,17,SV
1671809567000,10,17,SV
1671802139000,20L,02R,RJ
1671816612000,20R,21,RJ
1671817540000,17,10,SV
1671817770000,03,32,FL
1671809994000,03,32,FL
1671818379000,17,10,SV
1671810243000,32,03,FL
1671818689000,10,17,SV
1671819032000,32,03,FL
1671820537000,03,32,FL
1671810451000,21,32,FL
1671810933000,03,21,FL
1671821288000,32,03,FL
1671821631000,03,32,FL
1671821680000,15,18,CT
1671821930000,17,10,SV
1671822101000,15,19,KP
1671822157000,10,17,SV
1671822899000,15,14,KP
1671822907000,32,05,FL
1671823074000,32,03,FL
1671823962000,03,32,FL
1671824650000,32,03,FL
1671824694000,17R,21,SP
1671825003000,15,16,GL
1671829091000,21,32,FL
1671829345000,32,21,FL
1671830197000,15,21,GL
1671831120000,03,32,FL
1671831445000,32,03,FL
1671832992000,15,08,GL
1671834182000,32,25,FL
1671834959000,17,10,SV
1671835318000,10,17,SV
1671839564000,17R,36,SP
1671827710000,17R,16,SP
1671811217000,36,34,RF
1671811454000,32,03,FL
1671812916000,15,08,GL
1671813429000,17,10,SV
1671813833000,10,17,SV
