hora,nova_cabeceira,antiga_cabeceira,aero
1682213858000,17,10,SV
1682215866000,10,17,SV
1682224546000,17,10,SV
1682224868000,10,17,SV
1682235270000,17,10,SV
1682244466000,17R,30,SP
1682245272000,02R,20L,RJ
1682248137000,32,14,FL
1682251182000,10,17,SV
1682252162000,16,13,CF
1682267967000,17,10,SV
1682254492000,17R,32,SP
1682254902000,32,17R,FL
1682267987000,10,17,SV
1682256959000,14,32,FL
1682268146000,17,10,SV
1682255622000,17R,08,SP
1682268246000,15,26,CT
1682255952000,02R,20L,RJ
1682268406000,10,17,SV
1682269380000,15,26,CT
1682258924000,02R,03,RJ
1682258938000,14,03,FL
1682259608000,20L,02R,RJ
1682270001000,17,10,SV
1682261162000,15,21,GL
1682261180000,11R,13,BR
1682270177000,11,30,PA
1682271206000,10,17,SV
1682261933000,14,07,FL
1682261936000,14,07,FL
1682262477000,17,10,SV
1682278069000,10,17,SV
1682278451000,20L,23,RJ
1682272144000,15,08,GL
1682278862000,15,18,KP
1682279240000,20L,21,RJ
1682279252000,17,10,SV
1682263385000,17,21,SV
1682264264000,17,10,SV
1682273885000,16,13,CF
1682264955000,10,17,SV
1682265755000,11L,14,BR
1682265973000,17,10,SV
1682279543000,15,12,KP
1682266176000,10,17,SV
1682274329000,15,33,KP
1682275262000,17R,10R,SP
1682267486000,20L,21,RJ
1682280485000,10,17,SV
1682281230000,15,33,KP
1682275603000,17,10,SV
1682275684000,10,17,SV
1682275699000,15,33,KP
1682276292000,17,10,SV
1682282641000,15,21,GL
1682276948000,15,21,GL
1682284154000,17,10,SV
1682277192000,15,23,GL
1682284802000,20L,21,RJ
1682285298000,10,17,SV
1682285844000,18,15,RF
1682286023000,20L,23,RJ
1682288638000,15,16,KP
1682289555000,32,14,FL
1682293307000,14,32,FL
1682293801000,17R,12,SP
1682294182000,17,10,SV
