hora,nova_cabeceira,antiga_cabeceira,aero
1670630655000,11R,20L,BR
1670630764000,20L,11R,RJ
1670631019000,11L,29L,BR
1670632946000,17,10,SV
1670633772000,10,17,SV
1670635400000,32,14,FL
1670675756000,02R,32,RJ
1670676159000,02R,21,RJ
1670676210000,33,15,KP
1670676836000,20L,02R,RJ
1670677307000,28L,10R,GR
1670640893000,29R,11R,BR
1670645754000,11L,29R,BR
1670652646000,17,10,SV
1670658662000,10,17,SV
1670663709000,02R,20L,RJ
1670666088000,18,15,RF
1670666351000,29R,11L,BR
1670667511000,17,10,SV
1670669092000,10,17,SV
1670671471000,18,15,RF
1670671510000,33,15,CT
1670671635000,29L,02R,BR
1670672095000,02R,29L,RJ
1670678001000,34,16,CF
1670678183000,32,07,FL
1670678701000,35L,17R,SP
1670679024000,03,07,FL
1670679197000,33,36,KP
1670679852000,17,10,SV
1670679966000,10,17,SV
1670680044000,14,32,FL
1670680106000,03,14,FL
1670674834000,14,05,FL
1670680392000,32,03,FL
1670680468000,17,10,SV
1670681545000,10,17,SV
1670686150000,10,17,SV
1670686678000,29,33,CT
1670687463000,33,29,CT
1670687744000,20L,21,RJ
1670682745000,29,11,PA
1670683332000,17,10,SV
1670683791000,03,32,FL
1670688730000,17,10,SV
1670688747000,20L,27,RJ
1670684473000,10,17,SV
1670701281000,11,29,PA
1670685015000,17,10,SV
1670685085000,32,03,FL
1670689908000,10,17,SV
1670690118000,33,10,KP
1670690210000,33,36,KP
1670701916000,17R,16,SP
1670702268000,17R,12,SP
1670691709000,33,15,KP
1670692105000,33,17R,KP
1670703085000,17R,20L,SP
1670692285000,32,05,FL
1670703260000,20L,17R,RJ
1670696199000,29,11,PA
1670705281000,17R,10,SP
1670696565000,17,10,SV
1670696746000,10,17,SV
1670697150000,17R,35L,SP
1670697513000,34,13,CF
1670697685000,03,07,FL
1670697852000,33,34,KP
1670698319000,20L,21,RJ
1670698605000,32,03,FL
1670699321000,33,18,CT
1670709420000,10R,28L,GR
1670710379000,15,33,KP
1670711930000,15,33,CT
1670715079000,15,11,KP
1670715850000,16,34,CF
