hora,nova_cabeceira,antiga_cabeceira,aero
1662724404000,15,08,GL
1662724534000,16,15,CF
1662724852000,15,21,GL
1662726027000,15,16,KP
1662726095000,11R,08,BR
1662727581000,17,10,SV
1662735535000,15,08,GL
1662727738000,15,02,GL
1662727835000,10,17,SV
1662728706000,33,15,KP
1662729015000,17,10,SV
1662683993000,17,10,SV
1662684246000,10,17,SV
1662686358000,02R,20L,RJ
1662699151000,17,10,SV
1662706693000,10,17,SV
1662729849000,10,17,SV
1662730525000,17,10,SV
1662712512000,17L,35L,SP
1662714407000,35L,17L,SP
1662736754000,28L,16,GR
1662716322000,17,10,SV
1662717329000,29,13,PA
1662718201000,18,12,RF
1662719141000,10,17,SV
1662719411000,35L,16,SP
1662720384000,15,08,GL
1662731834000,10,17,SV
1662732018000,28L,10R,GR
1662720481000,15,08,GL
1662737314000,29,11,PA
1662732671000,17,10,SV
1662732787000,10,17,SV
1662737753000,10,17,SV
1662733739000,17,10,SV
1662723027000,11,29,PA
1662723039000,02R,03,RJ
1662733976000,11,33,CT
1662738030000,33,17,KP
1662738393000,02R,08,RJ
1662734884000,33,16,KP
1662734902000,33,11,CT
1662735105000,16,33,CF
1662739075000,02R,03,RJ
1662747119000,29,31,PA
1662747201000,17,10,SV
1662747502000,10,17,SV
1662747529000,33,15,KP
1662757862000,10,17,SV
1662758488000,15,21,GL
1662748113000,33,36,KP
1662739129000,17,10,SV
1662748940000,17,10,SV
1662749118000,03,32,FL
1662739415000,10,17,SV
1662749244000,10,17,SV
1662749415000,32,03,FL
1662759886000,17,10,SV
1662760366000,10,17,SV
1662739545000,17,10,SV
1662761895000,15,18,KP
1662761967000,15,33,KP
1662762181000,15,12,KP
1662762736000,15,16,KP
1662750259000,17,10,SV
1662750299000,03,32,FL
1662740499000,10,17,SV
1662751023000,10,17,SV
1662751074000,17,10,SV
1662763522000,17,10,SV
1662764759000,10,17,SV
1662767606000,02R,20L,RJ
1662751276000,10,17,SV
1662751432000,17,10,SV
1662751542000,10,17,SV
1662751555000,17,10,SV
1662751588000,20L,08,RJ
1662752038000,33,06,CT
1662752128000,11L,33,BR
1662752564000,20L,05,RJ
1662753356000,15,03,GL
1662753548000,20L,03,RJ
1662754136000,11L,35,BR
1662754271000,32,03,FL
1662754298000,15,20L,GL
1662754373000,20L,15,RJ
1662754488000,33,07,CT
1662754681000,11,33,CT
1662754706000,33,36,KP
1662755134000,35L,30,SP
1662755223000,33,36,KP
1662755778000,10,17,SV
1662756106000,15,08,GL
1662756109000,33,11,CT
1662740705000,32,07,FL
1662756798000,17,10,SV
1662741242000,21,32,FL
1662757800000,33,35,KP
1662741298000,03,21,FL
1662741513000,17,10,SV
1662741874000,32,07,FL
1662741884000,10,17,SV
1662742958000,17,10,SV
1662743103000,33,15,KP
1662743112000,10,17,SV
1662743486000,18,03,RF
1662743995000,15,02R,GL
1662744215000,03,32,FL
1662744330000,32,03,FL
1662744497000,02R,15,RJ
1662745682000,15,08,GL
1662746048000,20L,02R,RJ
1662746056000,18,15,RF
1662746725000,33,03,KP
