hora,nova_cabeceira,antiga_cabeceira,aero
1681522379000,10,17,SV
1681523677000,14,15,FL
1681525172000,17,10,SV
1681526251000,10,17,SV
1681552047000,35L,17R,SP
1681554339000,17R,35L,SP
1681554793000,17,10,SV
1681556902000,10,17,SV
1681562956000,17,10,SV
1681565767000,10,17,SV
1681565819000,17,10,SV
1681566238000,02R,21,RJ
1681566613000,10,17,SV
1681567160000,02R,21,RJ
1681567180000,17,10,SV
1681567236000,15,14,KP
1681567269000,02R,20L,RJ
1681567722000,33,28L,KP
1681567806000,28L,33,GR
1681567807000,10,17,SV
1681568355000,17,10,SV
1681568648000,35,17,SV
1681568864000,10,35,SV
1681570377000,17,10,SV
1681570560000,15,08,GL
1681569707000,10R,28L,GR
1681570868000,10,17,SV
1681570045000,20L,02R,RJ
1681572696000,17,10,SV
1681573055000,15,16,KP
1681573182000,11,24,PA
1681574597000,10,17,SV
1681575542000,17,10,SV
1681575619000,14,23,FL
1681575908000,11R,21,BR
1681592345000,29L,11L,BR
1681576051000,10,17,SV
1681593669000,21,14,FL
1681594136000,17R,30,SP
1681594977000,14,21,FL
1681576886000,20L,17L,RJ
1681576951000,17R,20L,SP
1681577470000,35,10,SV
1681577505000,10,35,SV
1681578260000,17,10,SV
1681578323000,33,15,GL
1681597494000,17,10,SV
1681598024000,10,17,SV
1681578378000,10,17,SV
1681582907000,16,13,CF
1681583014000,17R,12,SP
1681583523000,15,33,GL
1681586312000,14,07,FL
1681586531000,17,10,SV
1681586865000,10,17,SV
1681521072000,17,10,SV
1681588514000,15,30,KP
1681589865000,17,10,SV
1681590531000,10,17,SV
1681590738000,15,08,GL
1681591386000,11,15,PA
