hora,nova_cabeceira,antiga_cabeceira,aero
1682381019000,10,17,SV
1682383390000,11R,15,BR
1682411220000,33,15,CT
1682413483000,32,14,FL
1682413688000,02R,20L,RJ
1682414431000,17R,12,SP
1682414433000,10R,17R,GR
1682414655000,10R,17,GR
1682416114000,02R,07,RJ
1682424508000,10,17,SV
1682418440000,17,10,SV
1682419100000,15,21,GL
1682419142000,02R,15,RJ
1682419220000,18,15,RF
1682419230000,15,33,CT
1682420481000,15,26,GL
1682420625000,10,17,SV
1682421449000,16,13,CF
1682421633000,17,10,SV
1682427197000,15,18,KP
1682427247000,32,09,FL
1682428653000,17,10,SV
1682429459000,10,17,SV
1682422359000,02R,03,RJ
1682423229000,15,21,GL
1682430062000,15,14,KP
1682450954000,20R,16,RJ
1682430111000,17,10,SV
1682430345000,10,11,SV
1682430772000,15,18,KP
1682451142000,33,01,KP
1682431625000,35L,17R,SP
1682431915000,35L,17R,SP
1682451643000,17,10,SV
1682432249000,33,15,KP
1682432420000,02R,10R,RJ
1682432568000,10R,02R,GR
1682432670000,35L,29,SP
1682451848000,10,17,SV
1682452926000,20L,21,RJ
1682433557000,32,25,FL
1682434096000,17,10,SV
1682434517000,10,17,SV
1682434640000,20L,02R,RJ
1682434774000,17,10,SV
1682435469000,15,23,GL
1682437793000,33,15,CT
1682437995000,33,20,KP
1682438033000,20L,16,RJ
1682439411000,28L,10R,GR
1682439673000,17,10,SV
1682439878000,10,17,SV
1682440049000,17,10,SV
1682440266000,10,17,SV
1682440494000,17,10,SV
1682440617000,10,17,SV
1682440629000,15,21,GL
1682436804000,15,06,GL
1682453065000,14,32,FL
1682437258000,10,17,SV
1682453277000,32,14,FL
1682441732000,17,10,SV
1682453361000,20R,23,RJ
1682441901000,10,17,SV
1682442188000,17,10,SV
1682453889000,20L,21,RJ
1682442347000,10,17,SV
1682453901000,15,33,KP
1682454920000,17,10,SV
1682456965000,15,26,GL
1682444478000,11,12,PA
1682445414000,17,10,SV
1682445584000,10,17,SV
1682445686000,17,10,SV
1682446050000,35L,23,SP
1682447287000,20L,21,RJ
1682447606000,10,17,SV
1682447804000,20L,21,RJ
1682448235000,20L,16,RJ
1682448445000,32,25,FL
1682448962000,17,10,SV
1682449122000,10,17,SV
1682449909000,17R,35L,SP
1682450019000,33,30,KP
1682450113000,28R,20L,GR
1682450169000,20L,28R,RJ
1682450196000,21,32,FL
1682450473000,17,10,SV
1682450520000,32,21,FL
1682450627000,10,17,SV
1682457664000,10R,28L,GR
1682457920000,15,33,CT
1682458319000,10,17,SV
1682458419000,14,32,FL
1682458652000,17,10,SV
1682458936000,10,17,SV
1682459970000,15,18,CT
1682460625000,15,18,CT
1682461319000,14,07,FL
1682461891000,15,33,CT
1682464350000,17R,10R,SP
1682464367000,10R,17R,GR
