hora,nova_cabeceira,antiga_cabeceira,aero
1679533117000,18,10R,RF
1679533175000,10R,18,GR
1679541065000,17,10,SV
1679541351000,10,17,SV
1679543471000,17,10,SV
1679545201000,10,17,SV
1679558535000,33,15,CT
1679562880000,18,15,RF
1679562945000,02R,20L,RJ
1679564998000,15,33,CT
1679567143000,15,21,GL
1679568249000,15,23,GL
1679568557000,15,08,GL
1679569612000,35,10,SV
1679569715000,10,35,SV
1679570154000,17R,02R,SP
1679570512000,02R,17R,RJ
1679570641000,32,14,FL
1679570772000,15,08,GL
1679571259000,17,10,SV
1679571998000,10,17,SV
1679572515000,16,13,CF
1679574598000,17,10,SV
1679575320000,10,17,SV
1679576675000,11L,04,BR
1679576847000,17,10,SV
1679599124000,10,17,SV
1679577201000,11,13,PA
1679599884000,17,10,SV
1679577968000,15,18,KP
1679578442000,10,17,SV
1679579281000,02R,21,RJ
1679579514000,02R,09,RJ
1679588431000,32,07,FL
1679588802000,15,08,GL
1679589640000,15,08,GL
1679589826000,17,10,SV
1679600214000,11,29,PA
1679579980000,20L,02R,RJ
1679590206000,10,17,SV
1679600529000,32,07,FL
1679590589000,18,16,RF
1679601045000,15,16,GL
1679591063000,17,10,SV
1679591204000,10,17,SV
1679580739000,18,21,RF
1679580860000,17,10,SV
1679581112000,10,17,SV
1679591461000,18,15,RF
1679601182000,35,17,SV
1679601827000,10,35,SV
1679592446000,33,15,CT
1679581799000,17,10,SV
1679581959000,10,17,SV
1679601959000,32,07,FL
1679603210000,17,10,SV
1679583058000,35,10,SV
1679583151000,10,35,SV
1679583246000,20L,02R,RJ
1679584362000,17,10,SV
1679584440000,11R,18,BR
1679585860000,29,11,PA
1679585898000,15,21,GL
1679593064000,15,12,KP
1679593145000,14,17,FL
1679593410000,15,33,CT
1679593613000,29,12,PA
1679593632000,17,10,SV
1679594028000,20L,23,RJ
1679594323000,10,17,SV
1679594744000,15,09,GL
1679595111000,20R,21,RJ
1679595690000,29,31,PA
1679586200000,10,17,SV
1679586911000,20L,21,RJ
1679595766000,17,10,SV
1679596084000,17R,12,SP
1679596155000,21,32,FL
1679587227000,11,15,CT
1679603842000,10,17,SV
1679587315000,17,10,SV
1679587435000,18,15,RF
1679596848000,15,21,GL
1679597008000,15,17,KP
1679597199000,10,17,SV
1679587690000,15,11,CT
1679604580000,20L,23,RJ
1679587964000,10,17,SV
1679597491000,17,10,SV
1679597610000,32,07,FL
1679597861000,10,17,SV
1679604857000,17R,10R,SP
1679598590000,17,10,SV
1679598730000,10,17,SV
1679598745000,17,10,SV
1679604879000,10R,17R,GR
1679604995000,11,15,CT
1679605195000,15,11,CT
1679606289000,32,07,FL
1679609011000,15,21,GL
1679609326000,15,34,KP
1679613003000,17,10,SV
1679614592000,18,15,RF
1679614661000,15,18,GL
1679615527000,10,17,SV
