hora,nova_cabeceira,antiga_cabeceira,aero
1654646459000,28,17,SV
1654651144000,17,28,SV
1654652748000,28,17,SV
1654678060000,10,28,SV
1654680497000,02R,20L,RJ
1654684478000,15,21,GL
1654684708000,15,02R,GL
1654685717000,15,08,GL
1654685824000,15,08,GL
1654685828000,15,21,GL
1654686158000,17,10,SV
1654694355000,15,18,KP
1654686492000,10,17,SV
1654687292000,18,15,RF
1654694520000,10,17,SV
1654694647000,17,10,SV
1654694892000,10,17,SV
1654688184000,21,14,FL
1654688470000,14,21,FL
1654688710000,21,14,FL
1654689371000,17,10,SV
1654689893000,14,21,FL
1654697303000,14,21,FL
1654697330000,02R,21,RJ
1654697433000,17,10,SV
1654707090000,03,21,FL
1654707327000,17,10,SV
1654707433000,10,17,SV
1654692127000,11R,32,BR
1654707638000,21,03,FL
1654709266000,14,21,FL
1654698278000,10,17,SV
1654699384000,17,10,SV
1654699919000,20L,02R,RJ
1654700322000,10,17,SV
1654700722000,17,10,SV
1654700920000,10,17,SV
1654701258000,20L,21,RJ
1654701350000,17,10,SV
1654701380000,17R,16,SP
1654701394000,21,14,FL
1654701410000,14,25,FL
1654701837000,10,17,SV
1654701983000,16,13,CF
1654701987000,17,10,SV
1654702139000,10,17,SV
1654703145000,11L,32,BR
1654703178000,14,21,FL
1654703628000,17,10,SV
1654703822000,10,17,SV
1654704129000,15,08,GL
1654704831000,21,14,FL
1654704834000,17,10,SV
1654705166000,10,17,SV
1654710327000,17,10,SV
1654711107000,17,15,SV
1654711346000,11L,32,BR
1654711646000,15,18,KP
1654712290000,10,17,SV
1654713682000,21,14,FL
1654714353000,14,21,FL
1654714673000,21,14,FL
1654715113000,17,10,SV
1654716121000,10,17,SV
1654705579000,17,10,SV
1654705627000,10,17,SV
1654705999000,11L,12,BR
1654692389000,10,13,SV
1654717998000,17,10,SV
1654693143000,10,13,SV
1654718407000,03,21,FL
1654718790000,10,17,SV
1654718944000,21,03,FL
1654719259000,17,10,SV
1654719340000,15,16,KP
1654719443000,14,21,FL
1654719711000,11,15,PA
1654693618000,14,25,FL
1654719783000,10,17,SV
1654719944000,35,10,SV
1654722378000,10,17,SV
1654720285000,11,15,PA
1654693638000,17,10,SV
1654720664000,17,35,SV
1654720862000,21,14,FL
1654693882000,21,14,FL
1654724636000,14,21,FL
1654725729000,17,10,SV
1654726255000,10,17,SV
1654726591000,21,14,FL
1654726957000,15,16,GL
1654727878000,17R,02,SP
1654728546000,14,21,FL
1654728736000,15,14,KP
1654729010000,17,10,SV
1654730408000,17R,10,SP
1654731940000,02R,20L,RJ
1654732542000,21,14,FL
