hora,nova_cabeceira,antiga_cabeceira,aero
1677324250000,02R,17,RJ
1677324572000,17,10,SV
1677325353000,21,32,FL
1677325715000,32,07,FL
1677326089000,10,17,SV
1677327299000,28L,10R,GR
1677328407000,29,36,CT
1677328688000,32,21,FL
1677329178000,17,10,SV
1677329360000,10,17,SV
1677329530000,03,32,FL
1677329760000,32,03,FL
1677329767000,17,10,SV
1677330043000,02R,03,RJ
1677330186000,10,17,SV
1677330251000,32,03,FL
1677331280000,35L,17,SP
1677332826000,03,32,FL
1677286295000,11,29,PA
1677295472000,33,15,KP
1677306683000,17,10,SV
1677309765000,33,12,KP
1677313837000,10,17,SV
1677318661000,35L,31,SP
1677333667000,10R,28L,GR
1677333750000,21,03,FL
1677333802000,32,21,FL
1677333848000,02R,03,RJ
1677334114000,35L,30,SP
1677334650000,28L,10R,GR
1677334896000,17,10,SV
1677335028000,10,17,SV
1677322390000,29,11,PA
1677322655000,17,10,SV
1677323114000,10,17,SV
1677335394000,20L,02R,RJ
1677335794000,03,32,FL
1677336010000,32,03,FL
1677336142000,35L,33,SP
1677336287000,03,32,FL
1677336378000,15,05,GL
1677350670000,32,03,FL
1677351488000,33,17,KP
1677337152000,32,03,FL
1677352225000,11R,33,BR
1677353085000,29,36,CT
1677337452000,33,36,KP
1677337510000,03,07,FL
1677353472000,11,33,CT
1677353763000,17,10,SV
1677338378000,32,03,FL
1677339237000,17,10,SV
1677354505000,10,17,SV
1677354747000,15,33,KP
1677339486000,29,09,PA
1677355196000,17,10,SV
1677355407000,10,17,SV
1677355441000,33,11,CT
1677355707000,21,32,FL
1677340232000,10,17,SV
1677356227000,32,07,FL
1677356537000,33,15,KP
1677341375000,17,10,SV
1677356869000,35,10,SV
1677357376000,35L,16,SP
1677357697000,17,35,SV
1677342234000,21,32,FL
1677342411000,32,21,FL
1677342468000,10,17,SV
1677357870000,10,17,SV
1677358659000,11R,21,BR
1677359023000,11L,21,BR
1677359074000,03,32,FL
1677360974000,10R,28L,GR
1677343795000,17,10,SV
1677344048000,10,17,SV
1677344705000,17,10,SV
1677344894000,10,17,SV
1677344986000,03,07,FL
1677345160000,33,08,CT
1677346376000,17,10,SV
1677346658000,32,23,FL
1677361807000,32,03,FL
1677362349000,21,32,FL
1677363064000,14,21,FL
1677364037000,29R,11R,BR
1677368077000,02L,20L,RJ
1677368877000,20L,02L,RJ
1677347087000,10,17,SV
1677347180000,17,10,SV
1677347265000,10,17,SV
1677347400000,17,10,SV
1677349350000,32,07,FL
1677349983000,11R,21,BR
1677350001000,10,17,SV
1677350390000,03,32,FL
