hora,nova_cabeceira,antiga_cabeceira,aero
1654128060000,17,10,SV
1654128534000,10,17,SV
1654128849000,17,10,SV
1654129558000,10,17,SV
1654131821000,32,14,FL
1654139790000,14,32,FL
1654142301000,18,15,RF
1654154272000,18,09R,RF
1654154506000,09R,18,GR
1654159328000,29,11,PA
1654161875000,02R,20L,RJ
1654162307000,35L,17R,SP
1654164210000,17,10,SV
1654166421000,33,15,CT
1654166939000,10,17,SV
1654167121000,15,08,GL
1654176251000,17R,35L,SP
1654176390000,20L,02R,RJ
1654176907000,17,10,SV
1654177202000,10,17,SV
1654184426000,17,10,SV
1654177904000,33,31,CT
1654185207000,10,17,SV
1654185459000,11R,32,BR
1654185485000,15,16,GL
1654178343000,33,15,KP
1654178573000,17,10,SV
1654186158000,27L,09R,GR
1654186460000,35,10,SV
1654186641000,27L,11,GR
1654186787000,20L,21,RJ
1654186853000,11,29,PA
1654179044000,10,17,SV
1654179163000,34,16,CF
1654179731000,21,14,FL
1654186906000,27R,18,GR
1654186964000,33,19,KP
1654187006000,10,35,SV
1654187529000,17R,14,SP
1654187867000,33,26,KP
1654180134000,18,12,RF
1654180383000,17,10,SV
1654180488000,14,21,FL
1654180903000,15,17,GL
1654181036000,33,16,KP
1654181148000,10,17,SV
1654188333000,20L,21,RJ
1654188553000,18,27R,RF
1654188559000,15,21,GL
1654181740000,16,31,CF
1654189027000,14,17R,FL
1654189157000,34,09,CF
1654183340000,17,10,SV
1654183399000,02R,20L,RJ
1654190846000,17,10,SV
1654183509000,10,17,SV
1654183527000,20L,02R,RJ
1654191068000,10,17,SV
1654192253000,15,26,GL
1654183766000,15,33,CT
1654183769000,33,18,KP
1654183788000,33,16,KP
1654192931000,17,10,SV
1654193175000,10,17,SV
1654193786000,17,10,SV
1654194057000,20L,23,RJ
1654194713000,10,17,SV
1654195921000,15,33,KP
1654196677000,18,15,RF
1654198023000,14,17L,FL
1654198055000,17R,14,SP
1654199080000,14,25,FL
1654199508000,14,17R,FL
1654199559000,17R,14,SP
1654199627000,10,17,SV
1654199737000,17,10,SV
1654199863000,20L,21,RJ
1654200088000,09R,27R,GR
1654200323000,10,17,SV
1654198096000,14,17R,FL
1654198202000,17,10,SV
1654198443000,17R,14,SP
1654198516000,10,17,SV
1654198665000,14,17R,FL
1654198711000,17R,14,SP
1654198785000,15,21,GL
1654198811000,17,10,SV
1654201492000,17,10,SV
1654201542000,15,12,KP
1654202265000,10,17,SV
1654205568000,15,16,KP
1654207357000,17,10,SV
1654207800000,10,17,SV
1654209500000,16,34,CF
1654209698000,15,16,KP
1654210299000,17,10,SV
1654210933000,10,17,SV
1654212328000,17,10,SV
1654214219000,10,17,SV
