hora,nova_cabeceira,antiga_cabeceira,aero
1663807238000,10R,28L,GR
1663809424000,20L,10,RJ
1663809593000,10,20L,SV
1663810893000,35L,17R,SP
1663849405000,16,34,CF
1663849871000,10,17,SV
1663814846000,17,10,SV
1663815666000,10,17,SV
1663850402000,17,10,SV
1663850997000,20L,21,RJ
1663851161000,33,15,KP
1663851246000,35L,16,SP
1663851592000,03,25,FL
1663851861000,10,17,SV
1663817761000,17,10,SV
1663821022000,10,17,SV
1663833019000,33,15,KP
1663834297000,15,33,KP
1663834550000,32,14,FL
1663837895000,29L,11L,BR
1663838769000,02R,20L,RJ
1663839310000,28L,10L,GR
1663840105000,34,16,CF
1663840380000,17,10,SV
1663840552000,33,15,CT
1663840603000,11L,29R,BR
1663841321000,11R,34,BR
1663841381000,34,11R,CF
1663842552000,20L,02R,RJ
1663843295000,02R,20L,RJ
1663843525000,20L,02R,RJ
1663843530000,29L,11R,BR
1663843646000,10,17,SV
1663845705000,14,32,FL
1663848295000,17,10,SV
1663853188000,32,07,FL
1663853473000,35L,07,SP
1663853739000,32,03,FL
1663855464000,34,16,CF
1663855571000,03,32,FL
1663855596000,17,10,SV
1663855776000,10,17,SV
1663856189000,17,10,SV
1663856406000,10,17,SV
1663848870000,29,11,PA
1663849051000,33,15,KP
1663857755000,32,03,FL
1663857903000,15,36,GL
1663857908000,17,10,SV
1663857929000,11R,29L,BR
1663858588000,10,17,SV
1663858923000,34,13,CF
1663859153000,17,10,SV
1663863332000,10,17,SV
1663863592000,17,10,SV
1663864106000,10,17,SV
1663859442000,15,21,GL
1663860263000,15,21,GL
1663860659000,21,32,FL
1663861206000,10,17,SV
1663866195000,29,33,PA
1663866356000,03,32,FL
1663862083000,17,10,SV
1663863197000,32,21,FL
1663867522000,03,07,FL
1663867928000,20L,21,RJ
1663868812000,32,03,FL
1663869434000,18,15,RF
1663880178000,21,32,FL
1663869821000,18,15,RF
1663870660000,11L,32,BR
1663870937000,03,32,FL
1663881019000,10,17,SV
1663881118000,32,21,FL
1663881857000,17,10,SV
1663871067000,33,18,CT
1663882453000,21,32,FL
1663882838000,10,17,SV
1663872298000,21,03,FL
1663872524000,11L,06L,BR
1663885009000,14,21,FL
1663885582000,17,10,SV
1663885706000,10,17,SV
1663885873000,17,10,SV
1663873329000,11L,06L,BR
1663886804000,10,17,SV
1663874180000,17,10,SV
1663874493000,10,17,SV
1663887253000,17,10,SV
1663887512000,10,17,SV
1663888159000,17,10,SV
1663874880000,17,10,SV
1663874948000,33,36,CT
1663875214000,10,17,SV
1663875234000,32,21,FL
1663875767000,17,10,SV
1663875951000,10,17,SV
1663876389000,17,10,SV
1663876866000,10,17,SV
1663877202000,17,10,SV
1663877326000,10,17,SV
1663877908000,17,10,SV
1663879211000,10,17,SV
1663879297000,03,32,FL
1663879764000,32,03,FL
1663879985000,17,10,SV
