hora,metar,aero
1671494400000,METAR SBBR 200000Z 32008KT 280V340 9999 VCTS SCT013 FEW045CB BKN080 21/18 Q1016=,SBBR
1671498000000,METAR SBBR 200100Z VRB05G15KT 9999 SCT015 FEW045TCU BKN080 21/18 Q1017=,SBBR
1671501600000,METAR SBBR 200200Z 36003KT 330V040 9999 BKN014 FEW045TCU BKN100 20/18 Q1017=,SBBR
1671505200000,METAR SBBR 200300Z 33003KT CAVOK 20/18 Q1016=,SBBR
1671507000000,SPECI SBBR 200330Z 36003KT 9999 BKN005 BKN100 20/18 Q1016=,SBBR
1671508800000,METAR SBBR 200400Z 35005KT 9999 BKN007 BKN100 20/18 Q1016=,SBBR
1671512400000,METAR SBBR 200500Z 35005KT 320V020 9999 BKN007 BKN100 20/18 Q1015=,SBBR
1671516000000,METAR SBBR 200600Z 35006KT 9999 BKN007 BKN100 20/18 Q1015=,SBBR
1671519600000,METAR SBBR 200700Z 34007KT 9999 BKN007 BKN100 20/17 Q1015=,SBBR
1671523200000,METAR SBBR 200800Z 34007KT 9999 BKN007 BKN100 20/17 Q1015=,SBBR
1671526800000,METAR SBBR 200900Z 34005KT 310V010 9999 FEW010 BKN100 19/17 Q1015=,SBBR
1671530400000,METAR SBBR 201000Z 34008KT 9999 FEW010 BKN100 20/17 Q1016=,SBBR
1671531000000,SPECI SBBR 201010Z 34011KT 9999 BKN013 BKN100 21/17 Q1016=,SBBR
1671534000000,METAR SBBR 201100Z 34011KT 9999 BKN013 BKN100 21/17 Q1016=,SBBR
1671537600000,METAR SBBR 201200Z 34011KT 9999 BKN020 BKN100 22/17 Q1017=,SBBR
1671541200000,METAR SBBR 201300Z 32016KT 9999 BKN020 FEW025TCU BKN100 23/17 Q1017=,SBBR
1671544800000,METAR SBBR 201400Z 32017G27KT 9999 BKN020 FEW025TCU BKN100 23/17 Q1017=,SBBR
1671548400000,METAR SBBR 201500Z 32015KT 8000 VCSH BKN020 FEW025TCU BKN100 23/17 Q1017=,SBBR
1671549180000,SPECI SBBR 201513Z 34016G26KT 2500 -SHRA BKN020 FEW025TCU BKN100 21/18 Q1017=,SBBR
1671552000000,METAR SBBR 201600Z 32009KT 5000 -RA BKN013 FEW020TCU BKN070 21/19 Q1017=,SBBR
1671555600000,METAR SBBR 201700Z 33012KT 8000 -RA VCSH BKN015 FEW020TCU BKN070 22/18 Q1016=,SBBR
1671557940000,SPECI SBBR 201739Z 33013KT 300V360 2000 -RA BKN013 BKN080 21/19 Q1015=,SBBR
1671559200000,METAR SBBR 201800Z 33010KT 290V010 9999 FEW011 BKN016 BKN080 23/20 Q1015=,SBBR
1671562800000,METAR SBBR 201900Z 32014KT 300V360 9999 BKN017 FEW020TCU BKN100 23/18 Q1014=,SBBR
1671566400000,METAR SBBR 202000Z 30012KT 9999 BKN020 FEW030TCU BKN100 22/17 Q1014=,SBBR
1671570000000,METAR SBBR 202100Z 32011KT 9999 BKN020 FEW030TCU BKN100 22/17 Q1014=,SBBR
1671573600000,METAR SBBR 202200Z 32010KT 9999 BKN020 FEW030TCU BKN100 22/16 Q1015=,SBBR
1671577200000,METAR SBBR 202300Z 34007KT 310V010 9999 FEW030 SCT100 21/16 Q1016=,SBBR
1671494400000,METAR SBCF 200000Z 04003KT 3000 -RA BR FEW013 BKN030 OVC070 20/19 Q1016=,SBCF
1671496200000,SPECI SBCF 200030Z 34003KT 2000 RA BR FEW002 BKN028 BKN040 20/19 Q1016=,SBCF
1671498000000,METAR SBCF 200100Z 07002KT 3000 -RA BR SCT003 BKN013 BKN033 20/19 Q1016 RERA=,SBCF
1671501600000,METAR SBCF 200200Z 13002KT 3000 -RA BCFG FEW013 BKN035 OVC080 20/19 Q1016=,SBCF
1671505200000,METAR SBCF 200300Z 06003KT 8000 -RA BCFG SCT019 BKN035 BKN050 20/19 Q1015=,SBCF
1671508800000,METAR SBCF 200400Z 16002KT 4000 -RA BCFG FEW001 BKN030 BKN050 20/19 Q1014=,SBCF
1671512400000,METAR SBCF 200500Z 00000KT 4000 -RA BCFG BKN018 BKN035 20/19 Q1014=,SBCF
1671516000000,METAR SBCF 200600Z 16001KT 4000 -RA BCFG SCT013 OVC023 20/19 Q1013=,SBCF
1671516420000,SPECI SBCF 200607Z 00000KT 4000 -RA BCFG BKN011 OVC023 20/19 Q1013=,SBCF
1671519600000,METAR SBCF 200700Z 05004KT 3000 -RA BR SCT001 BKN015 BKN030 20/19 Q1013=,SBCF
1671523200000,METAR SBCF 200800Z 12002KT 4000 -RA BCFG FEW002 SCT017 BKN035 20/19 Q1013=,SBCF
1671523860000,SPECI SBCF 200811Z 04002KT 2000 RA BR FEW004 SCT017 OVC035 20/19 Q1013=,SBCF
1671525000000,SPECI SBCF 200830Z 01003KT 1000 R16R/1100D R34L/P2000 +RA BR FEW007 BKN017 OVC025 20/19 Q1014 RERA=,SBCF
1671526800000,METAR SBCF 200900Z 33007KT 1000 R16R/1300 R34L/P2000 RA BR SCT002 BKN010 OVC021 20/19 Q1014 RERA=,SBCF
1671527700000,SPECI SBCF 200915Z 32004KT 2000 RA BR BKN006 BKN015 OVC021 20/19 Q1014=,SBCF
1671529500000,SPECI SBCF 200945Z 34011KT 3000 RA BR BKN006 BKN015 OVC021 19/18 Q1015=,SBCF
1671530400000,METAR SBCF 201000Z 34012KT 3000 -RA BR BKN008 OVC070 19/18 Q1015 RERA=,SBCF
1671531840000,SPECI SBCF 201024Z 34013KT 3000 -RA BR FEW004 SCT008 OVC070 19/18 Q1015=,SBCF
1671532980000,SPECI SBCF 201043Z 34011KT 3000 -RA BKN004 BKN030 OVC070 19/18 Q1015=,SBCF
1671534000000,METAR SBCF 201100Z 35010KT 3000 -RA BR BKN003 BKN030 OVC070 19/18 Q1016=,SBCF
1671535680000,SPECI SBCF 201128Z 36009KT 1400 R16R/P2000 R34L/P2000 -RA BR BKN003 BKN030 OVC070 19/18 Q1016=,SBCF
1671537600000,METAR SBCF 201200Z 36009KT 1200 R16R/P2000 R34L/P2000 -RA BR BKN002 BKN030 OVC070 18/18 Q1016=,SBCF
1671538500000,SPECI SBCF 201215Z 36010KT 2000 -RA BR BKN003 BKN030 OVC070 19/18 Q1016=,SBCF
1671541200000,METAR SBCF 201300Z 35008KT 3000 -RA BR BKN003 BKN030 OVC070 20/19 Q1016=,SBCF
1671544800000,METAR SBCF 201400Z 34010KT 4000 -RA BR BKN004 BKN025 OVC070 20/19 Q1016=,SBCF
1671548400000,METAR SBCF 201500Z 34010KT 7000 -RA BKN006 OVC070 20/19 Q1015=,SBCF
1671552000000,METAR SBCF 201600Z 35009KT 9000 -RA BKN007 OVC070 21/20 Q1014=,SBCF
1671555600000,METAR SBCF 201700Z 35010KT 9000 VCSH BKN012 OVC070 23/20 Q1013=,SBCF
1671559200000,METAR SBCF 201800Z 35012KT 4000 -RA BKN012 BKN035 23/20 Q1012=,SBCF
1671561420000,SPECI SBCF 201837Z 34010KT 8000 BKN012 BKN035 23/20 Q1011=,SBCF
1671562800000,METAR SBCF 201900Z 34009KT 8000 -RA BKN013 BKN035 23/20 Q1011=,SBCF
1671566400000,METAR SBCF 202000Z 34011KT 5000 -RA BKN012 BKN035 22/20 Q1011=,SBCF
1671570000000,METAR SBCF 202100Z 35010KT 6000 -RA BKN012 BKN035 21/19 Q1012=,SBCF
1671573600000,METAR SBCF 202200Z 35010KT 8000 BKN012 BKN035 21/20 Q1013=,SBCF
1671577200000,METAR SBCF 202300Z 35010KT 8000 -RA BKN002 BKN060 21/19 Q1013=,SBCF
1671494400000,METAR SBCT 200000Z 12004KT 9999 -DZ SCT004 OVC008 16/16 Q1017=,SBCT
1671498000000,METAR COR SBCT 200100Z 14002KT 9999 SCT005 OVC010 16/16 Q1017=,SBCT
1671501600000,METAR SBCT 200200Z 07005KT 9999 OVC006 17/17 Q1018=,SBCT
1671505200000,METAR SBCT 200300Z 11001KT 9999 BKN005 16/16 Q1017=,SBCT
1671508800000,METAR SBCT 200400Z 14002KT 9999 BKN005 OVC010 16/16 Q1016=,SBCT
1671512400000,METAR SBCT 200500Z 10002KT 9999 BKN006 OVC010 16/16 Q1016=,SBCT
1671516000000,METAR SBCT 200600Z 08004KT 9999 FEW003 BKN010 16/16 Q1015=,SBCT
1671519600000,METAR SBCT 200700Z 13003KT 9999 FEW003 BKN010 16/16 Q1014=,SBCT
1671523200000,METAR SBCT 200800Z 17004KT 9999 SCT003 BKN009 16/16 Q1015=,SBCT
1671526800000,METAR SBCT 200900Z 17004KT 8000 OVC006 16/16 Q1015=,SBCT
1671528000000,SPECI SBCT 200920Z 17005KT 3000 -DZ BR SCT003 OVC007 17/17 Q1015=,SBCT
1671530400000,METAR SBCT 201000Z 22005KT 180V270 2500 -DZ BR OVC004 17/17 Q1016=,SBCT
1671534000000,METAR SBCT 201100Z 18006KT 6000 -DZ OVC003 17/17 Q1016=,SBCT
1671537600000,METAR SBCT 201200Z 18010KT 2500 -RA OVC005 17/17 Q1017=,SBCT
1671541200000,METAR SBCT 201300Z 18010KT 7000 -RA OVC006 17/17 Q1017=,SBCT
1671544800000,METAR SBCT 201400Z 17013KT 9999 OVC009 18/17 Q1017=,SBCT
1671548400000,METAR SBCT 201500Z 14011KT 9999 OVC011 19/17 Q1017=,SBCT
1671552000000,METAR SBCT 201600Z 14012KT 9999 -DZ BKN008 BKN030 18/18 Q1017=,SBCT
1671555600000,METAR SBCT 201700Z 15014KT 4000 -RA OVC008 17/17 Q1017=,SBCT
1671559200000,METAR SBCT 201800Z 12010KT 100V160 4000 -RA BKN007 OVC011 17/17 Q1017=,SBCT
1671562800000,METAR SBCT 201900Z 12013KT 7000 BKN013 BKN030 18/17 Q1016=,SBCT
1671566400000,METAR SBCT 202000Z 12013KT 100V160 9000 BKN013 BKN080 17/16 Q1016=,SBCT
1671570000000,METAR SBCT 202100Z 12012KT 7000 BKN010 BKN080 17/15 Q1016=,SBCT
1671573600000,METAR SBCT 202200Z 12009KT 080V140 4000 -RA BKN007 OVC014 16/16 Q1017=,SBCT
1671577200000,METAR SBCT 202300Z 12009KT 100V160 9000 BKN008 BKN012 15/15 Q1017=,SBCT
1671494400000,METAR SBFL 200000Z 09012KT 070V130 2000 +RA BKN007 OVC016 21/21 Q1016 RERA=,SBFL
1671498000000,METAR SBFL 200100Z 07015KT 2000 R14/1500 R32/1500 +RA BKN007 OVC016 21/21 Q1016=,SBFL
1671501600000,METAR SBFL 200200Z 04015KT 2000 RA BKN007 OVC016 21/21 Q1015 RERA=,SBFL
1671505200000,METAR SBFL 200300Z 03008KT 2500 +RA BKN007 OVC016 20/20 Q1015 RERA=,SBFL
1671508800000,METAR SBFL 200400Z 30006KT 2000 +RA BKN007 OVC016 21/21 Q1015=,SBFL
1671512400000,METAR SBFL 200500Z 07016KT 2000 +RA BKN007 OVC016 20/20 Q1014=,SBFL
1671516000000,METAR SBFL 200600Z 09012KT 2000 +RA BKN007 OVC016 20/20 Q1014=,SBFL
1671519600000,METAR SBFL 200700Z 14008KT 2000 RA BKN007 OVC016 20/20 Q1014 RERA=,SBFL
1671523200000,METAR SBFL 200800Z 14002KT 0200 RA BKN007 OVC016 20/20 Q1015 RERA=,SBFL
1671524580000,SPECI SBFL 200823Z 17003KT 4000 RA BKN007 OVC016 20/20 Q1015=,SBFL
1671526800000,METAR SBFL 200900Z 12005KT 4000 RA BKN007 OVC016 20/20 Q1015=,SBFL
1671530400000,METAR SBFL 201000Z 10010KT 4000 RA BKN008 OVC016 20/20 Q1015=,SBFL
1671534000000,METAR SBFL 201100Z 10010KT 3000 RA BKN007 OVC016 20/20 Q1015=,SBFL
1671537600000,METAR SBFL 201200Z 13004KT 3000 RA BKN009 OVC016 20/20 Q1016=,SBFL
1671541200000,METAR SBFL 201300Z 18005KT 3500 -RA BKN009 OVC016 20/20 Q1016 RERA=,SBFL
1671544800000,METAR SBFL 201400Z 09007KT 3500 -RA BKN009 OVC016 21/21 Q1016=,SBFL
