hora,metar,aero
1656374400000,METAR SBBR 280000Z 11006KT CAVOK 19/10 Q1021=,SBBR
1656378000000,METAR SBBR 280100Z 11006KT CAVOK 19/11 Q1022=,SBBR
1656381600000,METAR SBBR 280200Z 11004KT CAVOK 16/10 Q1022=,SBBR
1656385200000,METAR SBBR 280300Z VRB02KT CAVOK 15/10 Q1021=,SBBR
1656388800000,METAR SBBR 280400Z VRB01KT CAVOK 14/11 Q1021=,SBBR
1656392400000,METAR SBBR 280500Z VRB01KT CAVOK 12/09 Q1020=,SBBR
1656396000000,METAR SBBR 280600Z VRB01KT CAVOK 11/09 Q1020=,SBBR
1656399600000,METAR SBBR 280700Z 10003KT CAVOK 12/09 Q1020=,SBBR
1656403200000,METAR SBBR 280800Z 12005KT CAVOK 14/10 Q1020=,SBBR
1656406800000,METAR SBBR 280900Z 10006KT CAVOK 13/10 Q1021=,SBBR
1656410400000,METAR SBBR 281000Z VRB02KT CAVOK 13/10 Q1022=,SBBR
1656414000000,METAR SBBR 281100Z VRB02KT CAVOK 15/11 Q1023=,SBBR
1656417600000,METAR SBBR 281200Z 07008KT CAVOK 17/11 Q1024=,SBBR
1656421200000,METAR SBBR 281300Z 06008KT 030V100 CAVOK 19/11 Q1024=,SBBR
1656424800000,METAR SBBR 281400Z 08008KT CAVOK 21/11 Q1023=,SBBR
1656428400000,METAR SBBR 281500Z VRB06KT CAVOK 22/11 Q1023=,SBBR
1656432000000,METAR SBBR 281600Z 08006KT CAVOK 23/10 Q1022=,SBBR
1656435600000,METAR SBBR 281700Z 09006KT 360V130 CAVOK 24/09 Q1021=,SBBR
1656439200000,METAR SBBR 281800Z 09005KT 060V150 CAVOK 25/06 Q1021=,SBBR
1656442800000,METAR SBBR 281900Z 06004KT 350V120 CAVOK 25/07 Q1021=,SBBR
1656446400000,METAR SBBR 282000Z 03005KT CAVOK 25/07 Q1021=,SBBR
1656450000000,METAR SBBR 282100Z 13005KT CAVOK 24/09 Q1021=,SBBR
1656453600000,METAR SBBR 282200Z 10008KT CAVOK 21/10 Q1022=,SBBR
1656457200000,METAR SBBR 282300Z 11003KT 080V140 CAVOK 20/09 Q1022=,SBBR
1656374400000,METAR SBCF 280000Z 10010KT 9999 FEW040 16/10 Q1023=,SBCF
1656378000000,METAR SBCF 280100Z 10007KT CAVOK 15/10 Q1023=,SBCF
1656381600000,METAR SBCF 280200Z 11006KT CAVOK 14/10 Q1023=,SBCF
1656385200000,METAR SBCF 280300Z 12006KT CAVOK 13/10 Q1023=,SBCF
1656388800000,METAR SBCF 280400Z 14003KT CAVOK 13/10 Q1022=,SBCF
1656392400000,METAR SBCF 280500Z 13004KT CAVOK 12/10 Q1022=,SBCF
1656396000000,METAR SBCF 280600Z 12003KT CAVOK 12/10 Q1021=,SBCF
1656399600000,METAR SBCF 280700Z 12005KT CAVOK 12/10 Q1021=,SBCF
1656403200000,METAR SBCF 280800Z 16002KT CAVOK 11/10 Q1021=,SBCF
1656406800000,METAR SBCF 280900Z 17002KT CAVOK 11/09 Q1021=,SBCF
1656410400000,METAR SBCF 281000Z 13003KT CAVOK 12/10 Q1022=,SBCF
1656414000000,METAR SBCF 281100Z 14003KT CAVOK 12/10 Q1023=,SBCF
1656417600000,METAR SBCF 281200Z 17003KT CAVOK 14/11 Q1024=,SBCF
1656421200000,METAR COR SBCF 281300Z 09004KT 9999 SCT023 18/11 Q1024=,SBCF
1656424800000,METAR SBCF 281400Z 15003KT 9999 SCT030 19/11 Q1024=,SBCF
1656428400000,METAR SBCF 281500Z 07005KT 9999 FEW030 20/10 Q1023=,SBCF
1656432000000,METAR SBCF 281600Z 06005KT CAVOK 21/10 Q1022=,SBCF
1656435600000,METAR SBCF 281700Z 33005KT 270V050 CAVOK 22/10 Q1021=,SBCF
1656439200000,METAR SBCF 281800Z 03007KT 350V070 CAVOK 22/09 Q1021=,SBCF
1656442800000,METAR SBCF 281900Z 02006KT 350V050 CAVOK 22/09 Q1021=,SBCF
1656446400000,METAR SBCF 282000Z 03003KT 330V080 CAVOK 22/08 Q1021=,SBCF
1656450000000,METAR SBCF 282100Z 05004KT CAVOK 20/08 Q1021=,SBCF
1656453600000,METAR SBCF 282200Z 07009KT CAVOK 18/10 Q1022=,SBCF
1656457200000,METAR SBCF 282300Z 14002KT CAVOK 16/10 Q1022=,SBCF
1656374400000,METAR SBCT 280000Z 06003KT 010V090 9999 FEW005 BKN020 12/12 Q1021=,SBCT
1656378000000,METAR SBCT 280100Z 07004KT 050V110 9999 FEW008 BKN017 12/12 Q1021=,SBCT
1656381600000,METAR SBCT 280200Z 11003KT 070V140 9999 SCT008 BKN013 12/12 Q1021=,SBCT
1656385200000,METAR SBCT 280300Z VRB02KT 9999 SCT008 BKN012 12/12 Q1021=,SBCT
1656388800000,METAR SBCT 280400Z 02005KT 9999 OVC009 12/11 Q1021=,SBCT
1656392400000,METAR SBCT 280500Z 35004KT 310V020 9999 OVC009 12/11 Q1021=,SBCT
1656396000000,METAR SBCT 280600Z 01003KT 330V040 9999 OVC009 12/10 Q1020=,SBCT
1656399600000,METAR SBCT 280700Z 34005KT 9999 SCT008 OVC010 12/10 Q1020=,SBCT
1656403200000,METAR SBCT 280800Z 31005KT 280V340 9999 SCT008 BKN010 12/09 Q1020=,SBCT
1656406800000,METAR SBCT 280900Z 31004KT 280V340 9999 SCT008 OVC011 11/10 Q1020=,SBCT
1656409500000,SPECI SBCT 280945Z 32004KT 290V350 9999 BKN009 11/10 Q1020=,SBCT
1656410400000,METAR SBCT 281000Z 32006KT 9999 OVC008 11/10 Q1020=,SBCT
1656414000000,METAR SBCT 281100Z 32005KT 9999 OVC007 11/11 Q1021=,SBCT
1656417600000,METAR SBCT 281200Z 22004KT 200V280 9999 SCT008 13/11 Q1021=,SBCT
1656421200000,METAR SBCT 281300Z 31005KT CAVOK 15/11 Q1022=,SBCT
1656424800000,METAR SBCT 281400Z 27006KT 240V310 CAVOK 16/10 Q1021=,SBCT
1656428400000,METAR SBCT 281500Z 27008KT 240V300 CAVOK 18/11 Q1021=,SBCT
1656432000000,METAR SBCT 281600Z 31011KT 280V340 CAVOK 21/11 Q1019=,SBCT
1656435600000,METAR SBCT 281700Z 30016KT CAVOK 22/10 Q1018=,SBCT
1656439200000,METAR SBCT 281800Z 30012KT CAVOK 22/11 Q1018=,SBCT
1656442800000,METAR SBCT 281900Z 28013KT CAVOK 22/09 Q1018=,SBCT
1656446400000,METAR SBCT 282000Z 27009KT CAVOK 21/10 Q1018=,SBCT
1656450000000,METAR SBCT 282100Z 29005KT CAVOK 19/11 Q1018=,SBCT
1656453600000,METAR SBCT 282200Z 28004KT CAVOK 18/12 Q1018=,SBCT
1656457200000,METAR SBCT 282300Z 30006KT CAVOK 17/12 Q1019=,SBCT
1656374400000,METAR SBFL 280000Z 35012KT 9999 FEW030 18/15 Q1019=,SBFL
1656378000000,METAR SBFL 280100Z 35010KT 9999 FEW030 17/15 Q1019=,SBFL
1656381600000,METAR SBFL 280200Z 35010KT 9999 SCT030 17/15 Q1019=,SBFL
1656385200000,METAR SBFL 280300Z 34010KT 9999 SCT030 18/15 Q1019=,SBFL
1656388800000,METAR SBFL 280400Z 34012KT 9999 SCT030 17/15 Q1018=,SBFL
1656392400000,METAR SBFL 280500Z 13011KT 9999 SCT030 18/16 Q1018=,SBFL
1656396000000,METAR SBFL 280600Z 33010KT 9999 SCT030 18/15 Q1018=,SBFL
1656399600000,METAR SBFL 280700Z 34011KT 9999 SCT030 17/15 Q1018=,SBFL
1656403200000,METAR SBFL 280800Z 34011KT 9999 SCT030 17/15 Q1018=,SBFL
1656406800000,METAR SBFL 280900Z 34010KT 9999 SCT030 17/15 Q1017=,SBFL
1656410400000,METAR SBFL 281000Z 35012KT 9999 FEW030 17/15 Q1017=,SBFL
1656414000000,METAR SBFL 281100Z 35012KT 9999 FEW025 17/16 Q1017=,SBFL
1656417600000,METAR SBFL 281200Z 35013KT 9999 FEW030 18/15 Q1017=,SBFL
1656421200000,METAR SBFL 281300Z 34012KT 9999 FEW030 20/15 Q1017=,SBFL
1656424800000,METAR SBFL 281400Z 35011KT 9999 FEW030 20/13 Q1016=,SBFL
1656428400000,METAR SBFL 281500Z 35013KT 9999 FEW030 21/14 Q1015=,SBFL
1656432000000,METAR SBFL 281600Z 35014KT 9999 FEW030 22/14 Q1014=,SBFL
1656435600000,METAR SBFL 281700Z 36014KT CAVOK 22/15 Q1013=,SBFL
1656439200000,METAR SBFL 281800Z 36013KT CAVOK 22/15 Q1012=,SBFL
1656442800000,METAR SBFL 281900Z 36014KT CAVOK 21/14 Q1012=,SBFL
1656446400000,METAR SBFL 282000Z 35014KT CAVOK 19/15 Q1012=,SBFL
1656450000000,METAR SBFL 282100Z 03005KT CAVOK 18/15 Q1013=,SBFL
1656453600000,METAR SBFL 282200Z 34015KT CAVOK 18/15 Q1013=,SBFL
1656457200000,METAR SBFL 282300Z 34011KT CAVOK 18/16 Q1013=,SBFL
1656374400000,METAR SBGL 280000Z 09008KT CAVOK 18/13 Q1021=,SBGL
1656378000000,METAR SBGL 280100Z 11007KT CAVOK 17/13 Q1021=,SBGL
1656381600000,METAR SBGL 280200Z 11005KT CAVOK 16/13 Q1021=,SBGL
1656385200000,METAR SBGL 280300Z 12004KT CAVOK 15/13 Q1020=,SBGL
1656388800000,METAR SBGL 280400Z 08004KT CAVOK 16/13 Q1020=,SBGL
1656392400000,METAR SBGL 280500Z 07003KT CAVOK 14/12 Q1019=,SBGL
1656396000000,METAR SBGL 280600Z 33004KT CAVOK 15/13 Q1019=,SBGL
1656399600000,METAR SBGL 280700Z VRB02KT CAVOK 13/12 Q1018=,SBGL
1656403200000,METAR SBGL 280800Z 00000KT CAVOK 13/12 Q1019=,SBGL
1656406800000,METAR SBGL 280900Z 32003KT CAVOK 13/12 Q1019=,SBGL
1656410400000,METAR SBGL 281000Z 32005KT 9999 FEW015 14/13 Q1020=,SBGL
1656414000000,METAR SBGL 281100Z VRB01KT 8000 NSC 16/14 Q1020=,SBGL
1656417600000,METAR SBGL 281200Z VRB02KT 9000 NSC 19/14 Q1020=,SBGL
1656421200000,METAR SBGL 281300Z VRB02KT CAVOK 20/15 Q1020=,SBGL
1656424800000,METAR SBGL 281400Z 02005KT 350V060 CAVOK 21/15 Q1020=,SBGL
1656428400000,METAR SBGL 281500Z 06005KT 010V110 CAVOK 23/15 Q1019=,SBGL
1656432000000,METAR SBGL 281600Z 05004KT 010V100 CAVOK 23/13 Q1018=,SBGL
1656435600000,METAR SBGL 281700Z 05005KT 010V080 CAVOK 24/11 Q1017=,SBGL
1656439200000,METAR SBGL 281800Z 01004KT CAVOK 24/14 Q1016=,SBGL
1656442800000,METAR SBGL 281900Z 02004KT CAVOK 24/14 Q1016=,SBGL
1656446400000,METAR SBGL 282000Z 05003KT CAVOK 22/15 Q1016=,SBGL
1656450000000,METAR SBGL 282100Z 11003KT CAVOK 19/14 Q1017=,SBGL
1656453600000,METAR SBGL 282200Z 10002KT CAVOK 18/15 Q1017=,SBGL
1656457200000,METAR SBGL 282300Z 03002KT CAVOK 18/15 Q1018=,SBGL
1656374400000,METAR SBGR 280000Z 09005KT CAVOK 14/13 Q1021=,SBGR
1656378000000,METAR SBGR 280100Z 08009KT CAVOK 13/13 Q1021=,SBGR
1656381600000,METAR SBGR 280200Z 07011KT CAVOK 13/13 Q1021=,SBGR
1656385200000,METAR SBGR 280300Z 08012KT CAVOK 13/13 Q1021=,SBGR
1656388800000,METAR SBGR 280400Z 08011KT CAVOK 13/13 Q1020=,SBGR
1656392400000,METAR SBGR 280500Z 07007KT CAVOK 12/12 Q1020=,SBGR
1656396000000,METAR SBGR 280600Z 08011KT 7000 SCT006 12/12 Q1020=,SBGR
1656397500000,SPECI SBGR 280625Z 07010KT 7000 BKN005 12/12 Q1020=,SBGR
1656399600000,METAR SBGR 280700Z 07011KT 5000 2000E BR OVC004 12/12 Q1020=,SBGR
1656402000000,SPECI SBGR 280740Z 06009KT 3000 BR OVC003 12/12 Q1020=,SBGR
1656403200000,METAR SBGR 280800Z 06011KT 2000 BR BCFG OVC003 12/12 Q1020=,SBGR
1656405300000,SPECI COR SBGR 280835Z 06008KT 0900 R09R/P2000 R09L/P2000 R27R/P2000 R27L/P2000 FG OVC003 12/12 Q1020=,SBGR
1656406800000,METAR COR SBGR 280900Z 05008KT 0900 R09R/P2000 R09L/P2000 R27R/P2000 R27L/P2000 FG OVC002 12/12 Q1021=,SBGR
1656410400000,METAR COR SBGR 281000Z 05007KT 0600 R09L/1200D R27R/1200D R27L/1200D R09R/1700D FG OVC002 11/11 Q1021=,SBGR
1656414000000,METAR SBGR 281100Z 09006KT 0400 R09R/0650D R27R/0700D R27L/0900D R09L/1100N FG OVC002 11/11 Q1022=,SBGR
1656417600000,METAR SBGR 281200Z 06007KT 0800 R09R/P2000 R09L/P2000 R27R/P2000 R27L/P2000 FG OVC002 12/12 Q1022=,SBGR
1656419700000,SPECI SBGR 281235Z 05008KT 3000 BR OVC003 13/13 Q1022=,SBGR
1656421200000,METAR SBGR 281300Z 05009KT 7000 3000E OVC005 13/13 Q1022=,SBGR
1656422880000,SPECI SBGR 281328Z 06008KT 8000 BKN006 14/13 Q1022=,SBGR
1656424800000,METAR SBGR 281400Z 05008KT 9999 SCT010 15/13 Q1022=,SBGR
1656428400000,METAR SBGR 281500Z 05008KT CAVOK 17/14 Q1021=,SBGR
1656432000000,METAR SBGR 281600Z 06005KT CAVOK 20/14 Q1020=,SBGR
1656435600000,METAR SBGR 281700Z 10002KT 9999 FEW040 23/14 Q1019=,SBGR
1656439200000,METAR SBGR 281800Z 31007KT 9999 FEW040 24/12 Q1019=,SBGR
1656442800000,METAR SBGR 281900Z 32007KT 9999 FEW045 24/12 Q1019=,SBGR
1656446400000,METAR SBGR 282000Z 30005KT 9999 FEW045 23/13 Q1019=,SBGR
1656450000000,METAR SBGR 282100Z 32002KT CAVOK 19/13 Q1019=,SBGR
1656453600000,METAR SBGR 282200Z 07003KT CAVOK 17/14 Q1020=,SBGR
1656457200000,METAR SBGR 282300Z 07004KT CAVOK 16/15 Q1020=,SBGR
1656374400000,METAR SBKP 280000Z 12012KT CAVOK 16/12 Q1019=,SBKP
1656378000000,METAR SBKP 280100Z 12011KT CAVOK 16/12 Q1020=,SBKP
1656381600000,METAR SBKP 280200Z 12009KT CAVOK 15/12 Q1019=,SBKP
1656385200000,METAR SBKP 280300Z 12009KT CAVOK 15/12 Q1019=,SBKP
1656388800000,METAR SBKP 280400Z 11007KT CAVOK 14/12 Q1019=,SBKP
1656392400000,METAR SBKP 280500Z 12007KT CAVOK 14/12 Q1019=,SBKP
1656396000000,METAR SBKP 280600Z 12006KT CAVOK 14/12 Q1019=,SBKP
1656399600000,METAR SBKP 280700Z 12006KT CAVOK 13/11 Q1019=,SBKP
1656403200000,METAR SBKP 280800Z 12007KT CAVOK 13/11 Q1019=,SBKP
1656406800000,METAR SBKP 280900Z 12009KT CAVOK 13/11 Q1019=,SBKP
1656410400000,METAR SBKP 281000Z 12008KT 9000 4000SE NSC 13/11 Q1020=,SBKP
1656414000000,METAR SBKP 281100Z 11008KT 9000 4000SE NSC 14/11 Q1020=,SBKP
1656417600000,METAR SBKP 281200Z 10004KT 9000 NSC 16/12 Q1021=,SBKP
1656421200000,METAR SBKP 281300Z 02004KT CAVOK 18/12 Q1022=,SBKP
1656424800000,METAR SBKP 281400Z 02008KT CAVOK 21/12 Q1021=,SBKP
1656428400000,METAR SBKP 281500Z 02009KT CAVOK 22/12 Q1021=,SBKP
1656432000000,METAR SBKP 281600Z 35006KT CAVOK 24/13 Q1020=,SBKP
1656435600000,METAR SBKP 281700Z 30009KT 9999 FEW020 25/12 Q1019=,SBKP
1656439200000,METAR SBKP 281800Z 30008KT 9999 FEW030 25/12 Q1018=,SBKP
1656442800000,METAR SBKP 281900Z 29009KT 9999 FEW045 26/12 Q1018=,SBKP
1656446400000,METAR SBKP 282000Z 28006KT CAVOK 25/12 Q1018=,SBKP
1656450000000,METAR SBKP 282100Z 26006KT 240V360 CAVOK 23/12 Q1019=,SBKP
1656453600000,METAR SBKP 282200Z 23006KT 190V250 CAVOK 22/13 Q1019=,SBKP
1656457200000,METAR SBKP 282300Z 27003KT 210V330 9999 FEW040 22/13 Q1019=,SBKP
1656374400000,METAR SBPA 280000Z VRB02KT 9999 SCT034 BKN070 16/14 Q1016=,SBPA
1656378000000,METAR SBPA 280100Z VRB02KT 9999 BKN034 BKN070 16/14 Q1016=,SBPA
1656381600000,METAR SBPA 280200Z 08003KT 040V130 9999 SCT036 16/14 Q1016=,SBPA
1656385200000,METAR SBPA 280300Z 04003KT 020V080 9999 FEW036 15/14 Q1016=,SBPA
1656388800000,METAR SBPA 280400Z 00000KT 9000 NSC 15/14 Q1016=,SBPA
1656392400000,METAR SBPA 280500Z 15004KT 9000 NSC 14/14 Q1015=,SBPA
1656396000000,METAR SBPA 280600Z 14002KT 9000 NSC 13/13 Q1015=,SBPA
1656399600000,METAR SBPA 280700Z 28003KT 8000 NSC 13/13 Q1014=,SBPA
1656403200000,METAR SBPA 280800Z VRB01KT 6000 NSC 13/13 Q1014=,SBPA
1656406800000,METAR SBPA 280900Z 00000KT 6000 NSC 13/13 Q1014=,SBPA
1656410400000,METAR SBPA 281000Z VRB02KT 6000 NSC 13/13 Q1014=,SBPA
1656414000000,METAR SBPA 281100Z VRB02KT 6000 NSC 13/13 Q1015=,SBPA
1656416520000,SPECI SBPA 281142Z 08003KT 4000 BR NSC 14/14 Q1015=,SBPA
1656417600000,METAR SBPA 281200Z 08003KT 4000 BR NSC 14/14 Q1015=,SBPA
1656421200000,METAR SBPA 281300Z 00000KT 4000 BR NSC 16/15 Q1015=,SBPA
1656422640000,SPECI SBPA 281324Z VRB02KT 6000 NSC 18/15 Q1015=,SBPA
1656424800000,METAR SBPA 281400Z 35004KT 260V060 6000 NSC 19/15 Q1014=,SBPA
1656428400000,METAR SBPA 281500Z VRB03KT 8000 NSC 21/16 Q1014=,SBPA
1656432000000,METAR SBPA 281600Z 01005KT 320V050 CAVOK 22/15 Q1013=,SBPA
1656435600000,METAR SBPA 281700Z 28005KT CAVOK 23/16 Q1012=,SBPA
1656439200000,METAR SBPA 281800Z VRB02KT CAVOK 23/16 Q1011=,SBPA
