hora,metar,aero
1682553600000,METAR SBBR 270000Z 20002KT CAVOK 22/16 Q1019=,SBBR
1682557200000,METAR SBBR 270100Z 13001KT CAVOK 22/16 Q1020=,SBBR
1682560800000,METAR SBBR 270200Z 21002KT CAVOK 21/16 Q1020=,SBBR
1682564400000,METAR SBBR 270300Z 27002KT CAVOK 20/16 Q1020=,SBBR
1682568000000,METAR SBBR 270400Z 29003KT CAVOK 18/15 Q1019=,SBBR
1682571600000,METAR SBBR 270500Z 24003KT CAVOK 19/15 Q1019=,SBBR
1682575200000,METAR SBBR 270600Z 19003KT CAVOK 18/15 Q1019=,SBBR
1682578800000,METAR SBBR 270700Z 23002KT CAVOK 17/15 Q1018=,SBBR
1682582400000,METAR SBBR 270800Z VRB02KT CAVOK 17/15 Q1018=,SBBR
1682586000000,METAR SBBR 270900Z VRB01KT CAVOK 17/15 Q1019=,SBBR
1682589600000,METAR SBBR 271000Z 28002KT CAVOK 17/15 Q1019=,SBBR
1682593200000,METAR SBBR 271100Z 30002KT CAVOK 20/16 Q1020=,SBBR
1682596800000,METAR SBBR 271200Z 00000KT CAVOK 24/16 Q1020=,SBBR
1682600400000,METAR SBBR 271300Z 07006KT CAVOK 25/16 Q1020=,SBBR
1682604000000,METAR SBBR 271400Z VRB04KT 9999 SCT035 27/15 Q1020=,SBBR
1682607600000,METAR SBBR 271500Z 02006KT 320V080 9999 BKN040 27/13 Q1019=,SBBR
1682611200000,METAR SBBR 271600Z 32007KT 250V030 9999 BKN040 FEW045TCU 28/14 Q1018=,SBBR
1682614800000,METAR SBBR 271700Z 32007KT 9999 BKN040 FEW045TCU 29/14 Q1018=,SBBR
1682618400000,METAR SBBR 271800Z 35005KT 9999 BKN040 FEW045TCU 29/15 Q1016=,SBBR
1682622000000,METAR SBBR 271900Z 33006KT 9999 BKN040 FEW045TCU 28/14 Q1016=,SBBR
1682625600000,METAR SBBR 272000Z 08008KT 9999 SCT045 FEW048TCU SCT066 25/16 Q1017=,SBBR
1682627280000,SPECI SBBR 272028Z 04012KT 9999 TS VCSH SCT045 FEW048CB SCT066 23/14 Q1018=,SBBR
1682629200000,METAR SBBR 272100Z 10009KT 9999 VCSH SCT045 FEW048TCU SCT070 22/17 Q1018 RETS=,SBBR
1682632800000,METAR SBBR 272200Z 09007KT 9999 TS SCT045 FEW048CB BKN070 22/16 Q1018=,SBBR
1682636400000,METAR SBBR 272300Z 35006KT 330V030 9999 TS SCT045 FEW048CB BKN070 21/17 Q1019=,SBBR
1682553600000,METAR SBCF 270000Z 12003KT CAVOK 21/16 Q1019=,SBCF
1682557200000,METAR SBCF 270100Z 25002KT CAVOK 21/17 Q1019=,SBCF
1682560800000,METAR COR SBCF 270200Z 26004KT 9999 -RA SCT040 SCT100 21/17 Q1019=,SBCF
1682564400000,METAR SBCF 270300Z 13003KT 9999 SCT040 SCT100 21/17 Q1019=,SBCF
1682568000000,METAR SBCF 270400Z 09004KT 9999 FEW040 SCT100 21/17 Q1018=,SBCF
1682571600000,METAR SBCF 270500Z 08002KT 9999 FEW040 SCT070 20/17 Q1018=,SBCF
1682575200000,METAR SBCF 270600Z 19002KT 9999 FEW040 SCT070 19/17 Q1017=,SBCF
1682578800000,METAR SBCF 270700Z 19002KT 9999 SCT040 SCT070 19/17 Q1017=,SBCF
1682582400000,METAR SBCF 270800Z 05002KT 9999 FEW040 SCT070 19/17 Q1017=,SBCF
1682586000000,METAR SBCF 270900Z 00000KT 9999 FEW045 18/17 Q1017=,SBCF
1682589600000,METAR SBCF 271000Z 00000KT 9999 FEW045 19/17 Q1018=,SBCF
1682593200000,METAR SBCF 271100Z 17001KT 9999 FEW045 20/18 Q1018=,SBCF
1682596800000,METAR SBCF 271200Z 32007KT CAVOK 23/17 Q1019=,SBCF
1682600400000,METAR SBCF 271300Z 33009KT 9999 FEW030 25/17 Q1019=,SBCF
1682604000000,METAR SBCF 271400Z 32008KT 9999 BKN026 26/18 Q1018=,SBCF
1682607600000,METAR SBCF 271500Z 31006KT 9999 BKN033 27/18 Q1017=,SBCF
1682611200000,METAR SBCF 271600Z 29007KT 9999 VCSH BKN037 27/17 Q1016=,SBCF
1682614800000,METAR SBCF 271700Z 20014KT 9999 SHRA TS BKN040 FEW045CB BKN100 27/17 Q1016=,SBCF
1682618400000,METAR SBCF 271800Z 16002KT 9999 TS VCSH SCT040 FEW045CB SCT100 25/17 Q1015 RESHRA=,SBCF
1682622000000,METAR SBCF 271900Z 19002KT 9999 SCT040 FEW045TCU SCT100 26/16 Q1015 RETS=,SBCF
1682625600000,METAR SBCF 272000Z 16002KT 9999 FEW030 SCT100 26/17 Q1015=,SBCF
1682629200000,METAR SBCF 272100Z 32002KT 9999 FEW040 25/16 Q1016=,SBCF
1682632800000,METAR SBCF 272200Z 09001KT 9999 VCTS FEW040CB 24/16 Q1016=,SBCF
1682636400000,METAR SBCF 272300Z 14002KT 9999 VCTS FEW040CB 22/18 Q1016=,SBCF
1682553600000,METAR SBCT 270000Z 32005KT 9999 FEW045 BKN083 17/16 Q1017=,SBCT
1682557200000,METAR SBCT 270100Z 31005KT CAVOK 17/15 Q1017=,SBCT
1682560800000,METAR SBCT 270200Z 28004KT 9999 SCT025 16/15 Q1017=,SBCT
1682564400000,METAR SBCT 270300Z 28005KT 9999 SCT025 16/15 Q1017=,SBCT
1682568000000,METAR SBCT 270400Z 28005KT CAVOK 16/15 Q1016=,SBCT
1682571600000,METAR SBCT 270500Z 26004KT CAVOK 15/14 Q1016=,SBCT
1682575200000,METAR SBCT 270600Z 27004KT CAVOK 15/14 Q1016=,SBCT
1682578800000,METAR SBCT 270700Z 14005KT 9999 SCT004 14/14 Q1016=,SBCT
1682582400000,METAR SBCT 270800Z 21003KT 190V250 8000 BKN004 14/14 Q1016=,SBCT
1682586000000,METAR SBCT 270900Z 27004KT 230V350 7000 BKN004 14/14 Q1016=,SBCT
1682589600000,METAR SBCT 271000Z 19003KT 160V230 6000 BKN003 14/13 Q1017=,SBCT
1682593200000,METAR SBCT 271100Z 23006KT 190V260 8000 BKN003 14/14 Q1017=,SBCT
1682596800000,METAR SBCT 271200Z 24007KT 9999 BKN006 16/14 Q1018=,SBCT
1682600400000,METAR SBCT 271300Z 24007KT 9999 BKN012 17/14 Q1018=,SBCT
1682601600000,SPECI SBCT 271320Z 25006KT 9999 BKN017 18/14 Q1018=,SBCT
1682604000000,METAR SBCT 271400Z 22007KT 9999 FEW020 19/13 Q1018=,SBCT
1682607600000,METAR SBCT 271500Z 24005KT 9999 FEW020 19/12 Q1017=,SBCT
1682611200000,METAR SBCT 271600Z 23007KT 9999 BKN030 20/12 Q1017=,SBCT
1682614800000,METAR SBCT 271700Z 30005KT 9999 SCT035 22/12 Q1016=,SBCT
1682618400000,METAR SBCT 271800Z 23006KT 200V280 9999 BKN040 21/11 Q1015=,SBCT
1682622000000,METAR SBCT 271900Z 21006KT 9999 BKN035 21/12 Q1016=,SBCT
1682625600000,METAR SBCT 272000Z 22007KT 180V250 9999 SCT030 20/12 Q1016=,SBCT
